,BuypriceChangeBarrier,maxProftBarrier,delta,Total_Profit,Total_Brokerrage,Total_Transactions
467,-0.031,0.002,0.014,16575,5200,104
468,-0.031,0.01,0.013,64635,4400,88
469,-0.031,0.009,0.013,68145,4400,88
470,-0.031,0.008,0.013,55320,4500,90
471,-0.031,0.007,0.013,53445,4700,94
472,-0.031,0.006,0.013,36825,4800,96
473,-0.031,0.005,0.013,39435,4900,98
474,-0.031,0.004,0.013,37380,5300,106
475,-0.031,0.003,0.013,41730,5400,108
476,-0.031,0.002,0.013,22770,5500,110
477,-0.031,0.01,0.012,67800,4500,90
478,-0.031,0.009,0.012,71310,4500,90
479,-0.031,0.008,0.012,58485,4600,92
480,-0.031,0.007,0.012,56610,4800,96
481,-0.031,0.006,0.012,39990,4900,98
482,-0.031,0.005,0.012,56670,5100,102
483,-0.031,0.004,0.012,54615,5500,110
484,-0.031,0.003,0.012,58965,5600,112
485,-0.031,0.002,0.012,25935,5550,111
486,-0.031,0.01,0.011,42405,4450,89
487,-0.031,0.009,0.011,71130,4500,90
488,-0.031,0.008,0.011,58305,4600,92
489,-0.031,0.007,0.011,56430,4800,96
490,-0.031,0.006,0.011,39810,4900,98
491,-0.031,0.005,0.011,56490,5100,102
492,-0.031,0.004,0.011,54435,5500,110
493,-0.031,0.003,0.011,58785,5600,112
494,-0.031,0.002,0.011,29970,5550,111
495,-0.031,0.01,0.01,42405,4450,89
496,-0.031,0.009,0.01,71130,4500,90
497,-0.031,0.008,0.01,58305,4600,92
498,-0.031,0.007,0.01,56430,4800,96
499,-0.031,0.006,0.01,36450,4800,96
500,-0.031,0.005,0.01,53130,5000,100
501,-0.031,0.004,0.01,51075,5400,108
502,-0.031,0.003,0.01,55425,5500,110
503,-0.031,0.002,0.01,26610,5450,109
504,-0.031,0.01,0.009,42405,4450,89
505,-0.031,0.009,0.009,71130,4500,90
506,-0.031,0.008,0.009,58305,4600,92
507,-0.031,0.007,0.009,56430,4800,96
508,-0.031,0.006,0.009,36450,4800,96
509,-0.031,0.005,0.009,53130,5000,100
510,-0.031,0.004,0.009,51075,5400,108
511,-0.031,0.003,0.009,55425,5500,110
512,-0.031,0.002,0.009,26610,5450,109
513,-0.031,0.01,0.008,41175,4900,98
514,-0.031,0.009,0.008,69900,4950,99
515,-0.031,0.008,0.008,64185,5050,101
516,-0.031,0.007,0.008,58410,5150,103
517,-0.031,0.006,0.008,36105,5250,105
518,-0.031,0.005,0.008,52785,5450,109
519,-0.031,0.004,0.008,49905,5900,118
520,-0.031,0.003,0.008,54255,6000,120
521,-0.031,0.002,0.008,34770,6050,121
522,-0.031,0.01,0.007,42030,4900,98
523,-0.031,0.009,0.007,70755,4950,99
524,-0.031,0.008,0.007,65040,5050,101
525,-0.031,0.007,0.007,59265,5150,103
526,-0.031,0.006,0.007,36960,5250,105
527,-0.031,0.005,0.007,53640,5450,109
528,-0.031,0.004,0.007,55650,5850,117
529,-0.031,0.003,0.007,39945,5950,119
530,-0.031,0.002,0.007,20460,6000,120
531,-0.031,0.01,0.006,24405,5000,100
532,-0.031,0.009,0.006,53130,5050,101
533,-0.031,0.008,0.006,53490,5150,103
534,-0.031,0.007,0.006,47715,5250,105
535,-0.031,0.006,0.006,25410,5350,107
536,-0.031,0.005,0.006,42090,5550,111
537,-0.031,0.004,0.006,31185,5650,113
538,-0.031,0.003,0.006,38400,5650,113
539,-0.031,0.002,0.006,18915,5700,114
540,-0.041,0.01,0.02,24885,3600,72
541,-0.041,0.009,0.02,28395,3600,72
542,-0.041,0.008,0.02,24765,3700,74
543,-0.041,0.007,0.02,22890,3900,78
544,-0.041,0.006,0.02,22320,4000,80
545,-0.041,0.005,0.02,24930,4100,82
546,-0.041,0.004,0.02,22875,4500,90
547,-0.041,0.003,0.02,23895,4800,96
548,-0.041,0.002,0.02,19995,4850,97
549,-0.041,0.01,0.019,24885,3600,72
550,-0.041,0.009,0.019,28395,3600,72
551,-0.041,0.008,0.019,24765,3700,74
552,-0.041,0.007,0.019,22890,3900,78
553,-0.041,0.006,0.019,22320,4000,80
554,-0.041,0.005,0.019,24930,4100,82
555,-0.041,0.004,0.019,22875,4500,90
556,-0.041,0.003,0.019,23895,4800,96
557,-0.041,0.002,0.019,19995,4850,97
558,-0.041,0.01,0.018,24885,3600,72
559,-0.041,0.009,0.018,28395,3600,72
560,-0.041,0.008,0.018,24765,3700,74
561,-0.041,0.007,0.018,22890,3900,78
562,-0.041,0.006,0.018,22320,4000,80
563,-0.041,0.005,0.018,24930,4100,82
564,-0.041,0.004,0.018,22875,4500,90
565,-0.041,0.003,0.018,23895,4800,96
566,-0.041,0.002,0.018,19995,4850,97
567,-0.041,0.01,0.017,24885,3600,72
568,-0.041,0.009,0.017,28395,3600,72
569,-0.041,0.008,0.017,24765,3700,74
570,-0.041,0.007,0.017,22890,3900,78
571,-0.041,0.006,0.017,22320,4000,80
572,-0.041,0.005,0.017,24930,4100,82
573,-0.041,0.004,0.017,22875,4500,90
574,-0.041,0.003,0.017,23895,4800,96
575,-0.041,0.002,0.017,19995,4850,97
576,-0.041,0.01,0.016,30000,3600,72
577,-0.041,0.009,0.016,33510,3600,72
578,-0.041,0.008,0.016,29880,3700,74
579,-0.041,0.007,0.016,28005,3900,78
580,-0.041,0.006,0.016,27435,4000,80
581,-0.041,0.005,0.016,30045,4100,82
582,-0.041,0.004,0.016,27990,4500,90
583,-0.041,0.003,0.016,29010,4800,96
584,-0.041,0.002,0.016,20895,4900,98
585,-0.041,0.01,0.015,30000,3600,72
586,-0.041,0.009,0.015,33510,3600,72
587,-0.041,0.008,0.015,29880,3700,74
588,-0.041,0.007,0.015,28005,3900,78
589,-0.041,0.006,0.015,27435,4000,80
590,-0.041,0.005,0.015,30045,4100,82
591,-0.041,0.004,0.015,27990,4500,90
592,-0.041,0.003,0.015,29010,4800,96
593,-0.041,0.002,0.015,20895,4900,98
594,-0.041,0.01,0.014,39000,3600,72
595,-0.041,0.009,0.014,42510,3600,72
596,-0.041,0.008,0.014,38880,3700,74
597,-0.041,0.007,0.014,37005,3900,78
