,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,report_date
20,MSFT,Microsoft Corporation,2017-04-27T00:00:00.000Z,TNS,0.7,0.73,4.73,EDT,0,EQUITY,2017-04-27
19,MSFT,Microsoft Corporation,2017-07-20T00:00:00.000Z,TNS,0.71,0.98,39.01,EDT,0,EQUITY,2017-07-20
18,MSFT,Microsoft Corporation,2017-10-26T00:00:00.000Z,TNS,0.72,0.84,16.5,EDT,0,EQUITY,2017-10-26
17,MSFT,Microsoft Corporation,2018-01-31T00:00:00.000Z,TNS,0.87,0.96,10.98,EDT,0,EQUITY,2018-01-31
16,MSFT,Microsoft Corporation,2018-04-26T00:00:00.000Z,TNS,0.85,0.95,11.9,EDT,0,EQUITY,2018-04-26
15,MSFT,Microsoft Corporation,2018-07-19T00:00:00.000Z,TNS,1.08,1.13,5.02,EDT,0,EQUITY,2018-07-19
14,MSFT,Microsoft Corporation,2018-10-24T00:00:00.000Z,TNS,0.96,1.14,18.38,EDT,0,EQUITY,2018-10-24
13,MSFT,Microsoft Corporation,2019-01-30T00:00:00.000Z,TNS,1.09,1.1,0.73,EDT,0,EQUITY,2019-01-30
12,MSFT,Microsoft Corporation,2019-04-24T00:00:00.000Z,TNS,1.0,1.14,14.11,EDT,0,EQUITY,2019-04-24
11,MSFT,Microsoft Corporation,2019-07-18T00:00:00.000Z,TNS,1.21,1.37,12.94,EDT,0,EQUITY,2019-07-18
10,MSFT,Microsoft Corporation,2019-10-23T00:00:00.000Z,TNS,1.25,1.38,10.84,EDT,0,EQUITY,2019-10-23
9,MSFT,Microsoft Corporation,2020-01-29T00:00:00.000Z,TNS,1.32,1.51,14.48,EDT,0,EQUITY,2020-01-29
8,MSFT,Microsoft Corporation,2020-04-29T00:00:00.000Z,TNS,1.26,1.4,10.67,EDT,0,EQUITY,2020-04-29
7,MSFT,Microsoft Corporation,2020-07-22T00:00:00.000Z,TNS,1.34,1.46,8.71,EDT,0,EQUITY,2020-07-22
6,MSFT,Microsoft Corporation,2020-10-27T00:00:00.000Z,TNS,1.54,1.82,17.88,EDT,0,EQUITY,2020-10-27
5,MSFT,Microsoft Corporation,2021-01-26T00:00:00.000Z,TNS,1.64,2.03,23.63,EDT,0,EQUITY,2021-01-26
