,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price
99,ICICIBANK,01/12/2021,30/12/2021,PE,870,0,0,0,117,117,143.1,0,0,0,2750,0,727.7,729.45
100,ICICIBANK,01/12/2021,30/12/2021,PE,880,0,0,0,185.65,0,152.45,0,0,0,0,0,727.7,729.45
101,ICICIBANK,01/12/2021,30/12/2021,PE,890,0,0,0,194.25,0,161.9,0,0,0,0,0,727.7,729.45
102,ICICIBANK,01/12/2021,30/12/2021,PE,900,0,0,0,134,134,171.45,0,0,0,2750,0,727.7,729.45
103,ICICIBANK,01/12/2021,30/12/2021,PE,910,0,0,0,211.75,0,181.05,0,0,0,0,0,727.7,729.45
104,ICICIBANK,01/12/2021,30/12/2021,PE,920,0,0,0,220.65,0,190.75,0,0,0,0,0,727.7,729.45
105,ICICIBANK,01/12/2021,30/12/2021,PE,930,0,0,0,229.6,0,200.5,0,0,0,0,0,727.7,729.45
106,ICICIBANK,01/12/2021,30/12/2021,PE,940,0,0,0,238.65,0,210.25,0,0,0,0,0,727.7,729.45
107,ICICIBANK,01/12/2021,30/12/2021,PE,950,0,0,0,247.8,0,220.1,0,0,0,0,0,727.7,729.45
108,ICICIBANK,01/12/2021,30/12/2021,PE,960,0,0,0,257,0,229.9,0,0,0,0,0,727.7,729.45
109,ICICIBANK,01/12/2021,30/12/2021,PE,970,0,0,0,266.25,0,239.8,0,0,0,0,0,727.7,729.45
110,ICICIBANK,01/12/2021,30/12/2021,PE,980,0,0,0,275.55,0,249.7,0,0,0,0,0,727.7,729.45
111,ICICIBANK,01/12/2021,30/12/2021,PE,450,0,0,0,0.95,0,0,0,0,0,0,0,727.7,729.45
112,ICICIBANK,01/11/2021,30/12/2021,CE,950,0,0,0,4.95,4.95,16.4,0,0,0,1375,0,-,810.7
113,ICICIBANK,01/11/2021,30/12/2021,CE,490,0,0,0,218.15,0,317.1,0,0,0,0,0,-,810.7
114,ICICIBANK,01/11/2021,30/12/2021,CE,970,0,0,0,6.35,0,13.4,0,0,0,0,0,-,810.7
115,ICICIBANK,01/11/2021,30/12/2021,CE,980,0,0,0,5.75,0,12.05,0,0,0,0,0,-,810.7
116,ICICIBANK,01/11/2021,30/12/2021,CE,990,0,0,0,5.2,0,10.9,0,0,0,0,0,-,810.7
117,ICICIBANK,01/11/2021,30/12/2021,CE,880,0,0,0,14.9,0,31.9,0,0,0,0,0,-,810.7
118,ICICIBANK,01/11/2021,30/12/2021,CE,890,0,0,0,13.6,0,29.1,0,0,0,0,0,-,810.7
119,ICICIBANK,01/11/2021,30/12/2021,CE,900,12.65,13.55,11,12,12,26.55,7,87.79,1.16,24750,4125,-,810.7
120,ICICIBANK,01/11/2021,30/12/2021,CE,910,0,0,0,11.3,0,24.2,0,0,0,0,0,-,810.7
121,ICICIBANK,01/11/2021,30/12/2021,CE,920,0,0,0,10.25,0,22,0,0,0,0,0,-,810.7
122,ICICIBANK,01/11/2021,30/12/2021,CE,930,0,0,0,9.35,0,19.95,0,0,0,0,0,-,810.7
123,ICICIBANK,01/11/2021,30/12/2021,CE,940,0,0,0,8.5,0,18.1,0,0,0,0,0,-,810.7
124,ICICIBANK,01/11/2021,30/12/2021,CE,820,28.05,28.05,28.05,28.05,28.05,53.3,1,11.66,0.39,1375,1375,-,810.7
125,ICICIBANK,01/11/2021,30/12/2021,CE,830,0,0,0,23.25,0,49.15,0,0,0,0,0,-,810.7
126,ICICIBANK,01/11/2021,30/12/2021,CE,840,0,0,0,21.3,0,45.2,0,0,0,0,0,-,810.7
127,ICICIBANK,01/11/2021,30/12/2021,CE,850,25,25,20.5,21.25,21.5,21.25,50,599.5,15.13,141625,23375,-,810.7
128,ICICIBANK,01/11/2021,30/12/2021,CE,860,0,0,0,19.75,19.75,38.1,0,0,0,6875,0,-,810.7
129,ICICIBANK,01/11/2021,30/12/2021,CE,870,0,0,0,20,20,34.85,0,0,0,9625,0,-,810.7
130,ICICIBANK,01/11/2021,30/12/2021,CE,760,0,0,0,41.5,0,84.1,0,0,0,0,0,-,810.7
131,ICICIBANK,01/11/2021,30/12/2021,CE,770,0,0,0,38.3,0,78.3,0,0,0,0,0,-,810.7
132,ICICIBANK,01/11/2021,30/12/2021,CE,780,0,0,0,50,50,72.75,0,0,0,1375,0,-,810.7
133,ICICIBANK,01/11/2021,30/12/2021,CE,790,0,0,0,32.55,0,67.5,0,0,0,0,0,-,810.7
134,ICICIBANK,01/11/2021,30/12/2021,CE,800,37.35,41.6,35.95,38.4,36.85,38.4,123,1416.59,63.59,97625,92125,-,810.7
135,ICICIBANK,01/11/2021,30/12/2021,CE,810,30.55,33.3,30.55,32.7,32.7,57.75,66,764.62,29.54,88000,88000,-,810.7
136,ICICIBANK,01/11/2021,30/12/2021,CE,690,0,0,0,70.2,0,132.45,0,0,0,0,0,-,810.7
137,ICICIBANK,01/11/2021,30/12/2021,CE,700,0,0,0,90,90,124.75,0,0,0,1375,0,-,810.7
138,ICICIBANK,01/11/2021,30/12/2021,CE,710,0,0,0,60.8,0,117.35,0,0,0,0,0,-,810.7
139,ICICIBANK,01/11/2021,30/12/2021,CE,720,0,0,0,56.45,0,110.2,0,0,0,0,0,-,810.7
140,ICICIBANK,01/11/2021,30/12/2021,CE,730,0,0,0,52.35,0,103.25,0,0,0,0,0,-,810.7
141,ICICIBANK,01/11/2021,30/12/2021,CE,740,0,0,0,48.5,0,96.6,0,0,0,0,0,-,810.7
142,ICICIBANK,01/11/2021,30/12/2021,CE,750,70.65,70.65,70.65,70.65,70.65,90.2,1,11.28,0.97,6875,0,-,810.7
143,ICICIBANK,01/11/2021,30/12/2021,CE,630,0,0,0,104.7,0,182.9,0,0,0,0,0,-,810.7
144,ICICIBANK,01/11/2021,30/12/2021,CE,640,0,0,0,98.3,0,174,0,0,0,0,0,-,810.7
145,ICICIBANK,01/11/2021,30/12/2021,CE,650,0,0,0,92.15,0,165.3,0,0,0,0,0,-,810.7
