Date,Expiry,Strike Price,best_bid,best_offer,Close,futures_price,Option Type,time_diff,
1/11/21,30/12/21,1370,525,528.2,526.6,851.6630976,PE,1.38,
1/11/21,30/12/21,320,525.3,528.8,527.05,851.6630976,CE,1.38,
1/11/21,30/12/21,340,505.8,509.2,507.5,851.6630976,CE,1.38,
1/11/21,30/12/21,350,496,499.2,497.6,851.6630976,CE,1.38,
1/11/21,30/12/21,360,486.3,489.4,487.85,851.6630976,CE,1.38,
1/11/21,30/12/21,370,476.5,479.7,478.1,851.6630976,CE,1.38,
1/11/21,30/12/21,380,466.7,469.9,468.3,851.6630976,CE,1.38,
1/11/21,30/12/21,390,457,460.2,458.6,851.6630976,CE,1.38,
1/11/21,30/12/21,400,447.3,450.7,449,851.6630976,CE,1.38,
1/11/21,30/12/21,410,437.6,440.9,439.25,851.6630976,CE,1.38,
1/11/21,30/12/21,420,428.1,431.4,429.75,851.6630976,CE,1.38,
1/11/21,30/12/21,430,418.4,421.7,420.05,851.6630976,CE,1.38,
1/11/21,30/12/21,440,408.9,412.2,410.55,851.6630976,CE,1.38,
1/11/21,30/12/21,450,399.3,402.7,401,851.6630976,CE,1.38,
1/11/21,30/12/21,460,389.9,393.7,391.8,851.6630976,CE,1.38,
1/11/21,30/12/21,470,380.6,383.9,382.25,851.6630976,CE,1.38,
1/11/21,30/12/21,480,371.1,374.6,372.85,851.6630976,CE,1.38,
1/11/21,30/12/21,490,361.9,365.4,363.65,851.6630976,CE,1.38,
1/11/21,30/12/21,500,352.8,356,354.4,851.6630976,CE,1.38,
1/11/21,30/12/21,510,343.5,346.9,345.2,851.6630976,CE,1.38,
1/11/21,30/12/21,520,334.4,337.8,336.1,851.6630976,CE,1.38,
1/11/21,30/12/21,530,325.4,328.7,327.05,851.6630976,CE,1.38,
1/11/21,30/12/21,540,316.2,319.7,317.95,851.6630976,CE,1.38,
1/11/21,30/12/21,550,307.6,310.9,309.25,851.6630976,CE,1.38,
1/11/21,30/12/21,560,298.8,302.1,300.45,851.6630976,CE,1.38,
1/11/21,30/12/21,570,290.1,294.2,292.15,851.6630976,CE,1.38,
1/11/21,30/12/21,580,281.7,284.8,283.25,851.6630976,CE,1.38,
