Date,lambda,a_lst,b_lst,c_lst,rsquared_lst,rmse
2020-04-08,0.05,-0.0981946306044589,-0.16046808718771943,0.06093727459757137,0.997575496504318,3.265062405855669e-08
2020-04-09,0.05,-0.08945499756653225,-0.1443051823462023,0.05385451405384867,0.9984624479235723,2.1540460142256964e-08
2020-04-10,0.05,-0.08942697701015698,-0.14427325669301708,0.05384391277365645,0.9984578972044649,2.1595977370575283e-08
2020-04-13,0.05,-0.09892428346383204,-0.1606384824214025,0.060599122997542346,0.9993277899595752,1.0031089259288128e-08
2020-04-14,0.05,-0.09147142387028448,-0.14689143622635667,0.054527881121550506,0.998733330102628,1.97730742644615e-08
2020-04-15,0.1,-0.02202258283419304,-0.03284089647771067,0.009734003624488941,0.9986337762316294,1.704506312389969e-08
2020-04-16,0.05,-0.06850408429314901,-0.1094287173180245,0.03984071241879407,0.9986142189426599,1.5229218751458127e-08
2020-04-17,0.05,-0.07303359918255706,-0.11621408127230393,0.04228206230980011,0.9988285037125384,1.4635989835569026e-08
2020-04-20,0.05,-0.06548123405749873,-0.10395257614107156,0.037376082750261636,0.998753726897539,1.4199152042164765e-08
2020-04-21,0.05,-0.06006950889676026,-0.095437941607428,0.03426499945045833,0.9965879300120574,3.3351656407103294e-08
2020-04-22,0.05,-0.06603152220420606,-0.10538877953022549,0.03815037640855612,0.9975886631004567,2.62875539408387e-08
2020-04-23,0.05,-0.06568764880905498,-0.10558192386366277,0.038567848635866764,0.9967503583347349,3.212286462604144e-08
2020-04-24,0.05,-0.06740412386515429,-0.10874010508977383,0.04000547020505256,0.9954031715921157,4.4339751864011976e-08
2020-04-27,0.05,-0.07795150661298962,-0.1259976395573742,0.046821023456691646,0.9948797805857807,5.8507612617743106e-08
2020-04-28,0.05,-0.07484051721869567,-0.12109383791081563,0.045154313939737484,0.9951618061361936,4.878646644969976e-08
2020-04-29,0.05,-0.07837913899884477,-0.12634583261608784,0.047054042311314194,0.9964925234931048,3.91111677691221e-08
2020-04-30,0.05,-0.07870644116706177,-0.12622244764561216,0.04665823321929427,0.9968988538226895,3.8016106130180754e-08
2020-05-01,0.05,-0.07281272614044039,-0.11665189126756267,0.04291018961755996,0.9967140816599691,3.6573874122327664e-08
2020-05-04,0.05,-0.07794016884039073,-0.1248188873137416,0.0461227710452318,0.9957520805963186,5.1283902699692095e-08
2020-05-05,0.05,-0.08259904393032536,-0.13249767959140601,0.049164387013906324,0.9966035043106967,4.3796242605132476e-08
2020-05-06,0.05,-0.09284313500630757,-0.1485376360131336,0.055308956165159295,0.9969759995238355,4.681567157303617e-08
2020-05-07,0.05,-0.08976532430661445,-0.14325061196862965,0.05347572974702246,0.9980640792645447,2.692687670490227e-08
2020-05-08,0.05,-0.09062962857249358,-0.14436570793577397,0.053568380401718185,0.9975313608922476,3.779311661370201e-08
2020-05-11,0.1,-0.026740884801361275,-0.03934714816803716,0.011866898985833478,0.9979154445505133,3.210490339581973e-08
2020-05-12,0.05,-0.08696528384035895,-0.13826737773604741,0.05110696403325543,0.9985358910564507,2.16106712324044e-08
2020-05-13,0.05,-0.08233565042367333,-0.13069118447276457,0.04807300662372414,0.9983104982649254,2.3668035710058077e-08
2020-05-14,0.05,-0.0817652225263805,-0.130115069927991,0.04818223034139803,0.9986169465755443,1.7673386593338674e-08
2020-05-15,0.05,-0.0847035131540761,-0.13467925561346902,0.04983351868902072,0.9983909685962691,2.2260385975922618e-08
2020-05-18,0.05,-0.0933103084957436,-0.14883500901387098,0.05522712016733369,0.9982316814663036,2.8854691461280203e-08
2020-05-19,0.05,-0.09035594809840762,-0.14311433773972382,0.05273276348090196,0.9986580038958679,2.211416637282532e-08
2020-05-20,0.05,-0.09254666068306762,-0.1473159700079115,0.054708119619430326,0.9985099447010303,2.3580845535221393e-08
2020-05-21,0.05,-0.09057844040111573,-0.14419390889208264,0.05350164247461557,0.9986450291919725,2.0782850820669437e-08
2020-05-22,0.05,-0.08734514201774111,-0.13894719737019967,0.0514747572983809,0.99798445692856,2.931284480895918e-08
2020-05-25,0.05,-0.08732738372864342,-0.13895495438242225,0.051484419426729156,0.9979728511356089,2.9466920798033593e-08
2020-05-26,0.05,-0.08928988863159353,-0.1414350062265884,0.052023580158671104,0.9985818396230304,2.3367650078641846e-08
2020-05-27,0.05,-0.0836354170112717,-0.1322467143632355,0.04825546461471018,0.9982476680047225,2.7764471756293554e-08
2020-05-28,0.05,-0.08386338050213032,-0.13208914835463453,0.04799009932008834,0.9979072587389529,3.476049458763942e-08
2020-05-29,0.1,-0.025063708969628416,-0.0361455815030091,0.010685246402227998,0.9975134779183931,3.89777061488848e-08
2020-06-01,0.1,-0.025521485987037587,-0.03668059185663527,0.010774662634765383,0.997571876579355,4.139331255438892e-08
2020-06-02,0.1,-0.026527964886507344,-0.038222678476315775,0.011310255488578032,0.9977114771330895,3.9816961581338295e-08
2020-06-03,0.1,-0.028374083366151416,-0.041261931355599725,0.012323084362130981,0.9977194695063225,4.262907858592671e-08
2020-06-04,0.05,-0.10502558988766446,-0.1665722175041526,0.06144590857199714,0.9979687321575598,4.498641011711458e-08
2020-06-05,0.05,-0.12236616522520208,-0.19617108146870282,0.07378230435052284,0.9979612379197795,4.8512305970787775e-08
2020-06-08,0.05,-0.11394603475839049,-0.18227144038571166,0.06806697752317976,0.9977868028759642,5.022058215921747e-08
2020-06-09,0.1,-0.03346729742315916,-0.04867480091821396,0.014845987022258214,0.9975052235752931,5.3260961689566274e-08
2020-06-10,0.1,-0.02949723814602367,-0.04225293571779715,0.012603439433976325,0.99679606058461,6.369673352603023e-08
