Date,Open,High,Low,Close,Adj Close,Volume,mvAverageStrategy_T1,mvAverageStrategy_T2,trading_signal,liquidatePosition,deltacal,Stock_BUY_Sell,Position,Realised_PNL,MTM,AvgPrc
2018-04-25,262.910004,264.130005,260.850006,263.630005,247.826996,103840900,266.9970002,266.6716654666667,1.0,1.0,257.72041078,-0.0,-20.0,-2516.1997080000024,-1352.2300739999996,196.0185013
2018-04-26,264.790009,267.25,264.290009,266.309998,250.346375,67731900,266.7800019,266.1536662,1.0,1.0,258.3574049,-0.0,-20.0,-2516.1997080000024,-1405.8299339999999,196.0185013
2018-04-27,267.0,267.339996,265.5,266.559998,250.58136,57053600,266.7670014,265.717333,1.0,1.0,260.98379804,-0.0,-20.0,-2516.1997080000024,-1410.8299339999999,196.0185013
2018-04-30,267.26001,267.890015,264.429993,264.51001,248.654266,82182300,266.8050019,265.41766666666666,1.0,1.0,261.22879804,-0.0,-20.0,-2516.1997080000024,-1369.8301740000002,196.0185013
2018-05-01,263.869995,265.100006,262.109985,264.980011,249.096161,74203400,266.94600230000003,265.13633326666667,1.0,1.0,259.2198098,-0.0,-20.0,-2516.1997080000024,-1379.2301940000002,196.0185013
2018-05-02,264.76001,265.679993,262.76001,263.200012,247.422791,86368900,266.6640046,264.8133332,1.0,1.0,259.68041078,-0.0,-20.0,-2516.1997080000024,-1343.6302140000003,196.0185013
2018-05-03,262.26001,263.359985,259.049988,262.619995,246.877594,136311500,266.1430055,264.62966723333335,1.0,1.0,257.93601176,-0.0,-20.0,-2516.1997080000024,-1332.0298740000003,196.0185013
2018-05-04,261.519989,266.790009,261.149994,266.019989,250.073761,91222100,265.4240052,264.37133389999997,1.0,1.0,257.3675951,-0.0,-20.0,-2516.1997080000024,-1400.0297539999997,196.0185013
2018-05-07,266.890015,268.019989,266.109985,266.920013,250.919891,55304900,264.7970032,264.11100063333333,1.0,1.0,260.69958922,-0.0,-20.0,-2516.1997080000024,-1418.0302339999994,196.0185013
2018-05-08,266.5,267.329987,265.149994,266.920013,250.919891,67499200,264.7380036,264.1893331666667,1.0,1.0,261.58161273999997,-0.0,-20.0,-2516.1997080000024,-1418.0302339999994,196.0185013
2018-05-09,267.679993,269.869995,267.089996,269.5,253.345139,59666100,264.7730042,264.4850006666667,1.0,1.0,261.58161273999997,-0.0,-20.0,-2516.1997080000024,-1469.629974,196.0185013
2018-05-10,270.339996,272.390015,270.220001,272.019989,255.714096,72063900,265.1670044,264.5453349333333,1.0,1.0,264.11,-0.0,-20.0,-2516.1997080000024,-1520.0297539999997,196.0185013
2018-05-11,272.160004,273.149994,271.579987,272.850006,256.494324,59871500,265.7540039,264.8420014,1.0,1.0,266.57958922,-0.0,-20.0,-2516.1997080000024,-1536.6300940000006,196.0185013
2018-05-14,273.339996,274.079987,272.359985,272.980011,256.616577,54790600,266.325003,265.2483348,1.0,1.0,267.39300588,-0.0,-20.0,-2516.1997080000024,-1539.2301940000002,196.0185013
2018-05-15,271.589996,271.609985,270.029999,271.100006,254.849258,87036100,266.9540038,265.5716685333333,1.0,1.0,267.52041077999996,-0.0,-20.0,-2516.1997080000024,-1501.6300940000006,196.0185013
