,date,Open,High,Low,Close
542,2024-03-14,1614.4,1657.75,1608.0,1653.3
543,2024-03-15,1641.1,1645.8,1618.35,1634.0
544,2024-03-18,1630.0,1632.65,1598.85,1602.65
545,2024-03-19,1592.35,1599.0,1558.0,1561.45
546,2024-03-20,1563.0,1574.95,1552.35,1554.95
547,2024-03-21,1564.0,1576.95,1543.4,1554.7
548,2024-03-22,1521.0,1528.9,1498.2,1508.85
549,2024-03-26,1492.0,1507.45,1487.9,1492.65
550,2024-03-27,1496.0,1499.0,1481.55,1483.85
551,2024-03-28,1487.15,1511.8,1487.15,1498.05
552,2024-04-01,1525.0,1529.95,1492.8,1495.45
553,2024-04-02,1484.85,1493.15,1480.85,1482.85
554,2024-04-03,1479.0,1495.1,1475.0,1480.65
555,2024-04-04,1490.55,1495.65,1468.0,1486.7
556,2024-04-05,1480.05,1486.7,1476.05,1479.1
557,2024-04-08,1483.0,1490.95,1474.1,1476.7
558,2024-04-09,1490.0,1513.8,1487.3,1494.85
559,2024-04-10,1500.35,1509.85,1484.55,1506.8
560,2024-04-12,1504.0,1506.8,1479.5,1484.75
561,2024-04-15,1480.0,1491.95,1461.05,1468.15
562,2024-04-16,1451.0,1455.15,1413.05,1414.45
563,2024-04-18,1421.1,1444.7,1407.5,1419.25
564,2024-04-19,1385.0,1426.85,1378.75,1411.25
565,2024-04-22,1419.9,1436.85,1413.05,1432.75
566,2024-04-23,1443.0,1446.85,1433.0,1442.4
567,2024-04-24,1444.3,1444.3,1427.05,1430.75
568,2024-04-25,1420.0,1444.9,1420.0,1438.45
569,2024-04-26,1439.7,1445.4,1427.0,1430.25
570,2024-04-29,1429.95,1439.8,1428.25,1434.75
571,2024-04-30,1434.7,1436.55,1417.55,1420.55
572,2024-05-02,1413.0,1424.0,1411.85,1414.45
573,2024-05-03,1422.1,1424.8,1403.2,1416.3
574,2024-05-06,1420.0,1445.7,1417.1,1425.9
575,2024-05-07,1424.95,1443.35,1415.6,1440.95
576,2024-05-08,1435.25,1439.75,1425.6,1427.3
577,2024-05-09,1427.55,1449.95,1424.85,1439.55
578,2024-05-10,1435.05,1435.95,1413.0,1424.9
579,2024-05-13,1425.0,1425.0,1411.2,1423.45
580,2024-05-14,1426.4,1433.75,1418.05,1424.7
581,2024-05-15,1426.0,1431.8,1418.55,1419.95
582,2024-05-16,1433.95,1455.75,1427.0,1453.35
583,2024-05-17,1457.0,1457.0,1439.25,1444.3
584,2024-05-18,1445.0,1450.0,1442.0,1443.65
585,2024-05-21,1430.0,1444.7,1428.4,1434.15
