Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,futures_price
NIFTY,04-Oct-17,28-Dec-17,PE,11100,0,0,0,1236.25,0,1038.9,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,11150,0,0,0,1218.15,0,1085.75,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,11200,0,0,0,1400,1400,1133,0,0,0,55950,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10950,0,0,0,1030.85,0,900.75,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,11000,999.1,1000,987,1000,1000,1000,7,62.97,5.22,359925,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,11050,0,0,0,1123.85,0,992.4,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10800,0,0,0,1537,1537,767.5,0,0,0,900,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10850,0,0,0,939.6,0,811.25,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10900,0,0,0,701.4,0,855.7,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10650,0,0,0,763.8,0,640.9,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10700,0,0,0,2080,2080,682.25,0,0,0,212550,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10750,0,0,0,850.45,0,724.45,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10450,0,0,0,600.15,0,485.55,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10500,565,565,515,528.65,518,528.65,202,1671.95,81.2,757275,-4650,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10550,0,0,0,680.2,0,561.1,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10600,0,0,0,884,884,600.5,0,0,0,89950,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10350,0,0,0,524.5,0,415.15,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10400,0,0,0,1049,1049,449.7,0,0,0,140650,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10150,0,0,0,386.4,0,291.05,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10200,311.55,324.9,311.55,316.3,316.3,316.3,18,142.03,4.33,110975,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10250,0,0,0,452.7,0,350.15,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10300,0,0,0,823.05,0,381.9,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10000,255.85,260.25,215.65,225.6,218.5,225.6,2230,17111.42,386.42,4090050,22125,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10050,0,0,0,325.55,0,238.1,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,10100,300,300,268,274.95,274.95,274.95,24,186.72,4.92,46725,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9850,0,0,0,221.4,0,151.3,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9900,202.5,207.25,175.7,176.75,176,176.75,204,1542.99,28.29,610850,3450,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9950,0,0,0,270.5,0,191.55,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9650,0,0,0,141.15,0,89.35,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9700,144,144,117,117.4,118,117.4,672,4950.67,61.87,161100,18450,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9750,0,0,0,178.3,0,117.15,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9800,173,173,142,147.35,143.7,147.35,274,2045.15,31.25,180825,1725,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9500,97.95,99,80.25,84.45,81.1,84.45,2555,18370.07,165.7,2280400,49200,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9550,0,0,0,109.7,0,66.05,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9600,120.7,120.7,98.6,102.5,99.1,102.5,482,3508.47,38.07,587450,6150,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9350,0,0,0,62.55,0,33.9,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9400,78.55,78.55,63.5,64.3,64.9,64.3,161,1143.35,8.3,74325,2400,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9450,0,0,0,83.75,0,47.9,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9200,52.4,52.4,42,43.3,43.5,43.3,696,4825.55,23.15,62625,47925,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9250,0,0,0,45.75,0,23.35,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9300,60.95,60.95,51.3,53.7,53,53.7,183,1284.03,7.6,24300,7875,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9050,0,0,0,22.75,0,10.2,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9100,41.7,41.7,37,37.75,37.9,37.75,29,198.78,0.85,197775,1050,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9150,0,0,0,32.65,0,15.65,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8850,0,0,0,10.2,0,3.95,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8900,0,0,0,425,425,5.05,0,0,0,56150,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,8950,0,0,0,15.45,0,6.45,0,0,0,0,0,10004.25
NIFTY,04-Oct-17,28-Dec-17,PE,9000,38.25,39.5,33.1,34.8,34,34.8,1769,11987.68,46.93,1939425,5250,10004.25
NIFTY,05-Oct-17,28-Dec-17,PE,8700,0,0,0,33,33,1.55,0,0,0,19300,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,8750,0,0,0,6.55,0,2.1,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,8800,0,0,0,119.7,119.7,2.75,0,0,0,170275,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,8550,0,0,0,2.5,0,0.65,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,8600,0,0,0,41.3,41.3,0.85,0,0,0,144875,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,8650,0,0,0,4.1,0,1.15,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,8400,0,0,0,66.4,66.4,0.25,0,0,0,5625,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,8450,0,0,0,1.45,0,0.35,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,8500,12.55,15,12.55,14.15,15,14.15,169,1079.12,1.74,545200,7050,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,8250,0,0,0,0.45,0,0.1,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,8300,0,0,0,18,18,0.15,0,0,0,92175,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,8350,0,0,0,0.85,0,0.2,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,8000,5.55,6.65,5.55,6.25,6.5,6.25,31,186.14,0.14,545275,-300,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,8100,7,7,7,7,7,7,12,72.96,0.06,93900,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,8200,0,0,0,701.8,701.8,0.05,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,7700,0,0,0,239,0,0,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,7800,0,0,0,5.55,5.55,0,0,0,0,20250,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,7900,0,0,0,3.1,3.1,0,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,7400,0,0,0,184.15,0,0,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,7500,3.95,3.95,3.1,3.8,3.8,3.8,13,73.16,0.04,328500,750,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,7600,0,0,0,256.15,256.15,0,0,0,0,14550,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,7000,2.55,2.6,2.55,2.6,2.6,2.6,10,52.52,0.02,168600,750,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,7100,0,0,0,138.05,0,0,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,7200,0,0,0,0.1,0.1,0,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,7300,0,0,0,167.65,0,0,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,6700,0,0,0,89.9,0,0,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,6800,0,0,0,100.65,0,0,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,6900,0,0,0,112.2,0,0,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,6400,0,0,0,67.1,67.1,0,0,0,0,0,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,6500,0,0,0,2.75,2.75,0,0,0,0,38000,0,9975.05
NIFTY,05-Oct-17,28-Dec-17,PE,6600,0,0,0,51.7,51.7,0,0,0,0,9550,0,9975.05
