,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,Future_Prices
3432,NIFTY,OPTIDX,2021-12-30,11000.0,PE,4.9,5.1,4.5,4.75,4.75,145,797.85,381825,5300,01-DEC-2021,17221.9
3433,NIFTY,OPTIDX,2021-12-30,11100.0,PE,0.0,0.0,0.0,79.95,0.0,0,0.0,150,0,01-DEC-2021,17221.9
3434,NIFTY,OPTIDX,2021-12-30,11300.0,PE,0.0,0.0,0.0,11.4,0.0,0,0.0,675,0,01-DEC-2021,17221.9
3435,NIFTY,OPTIDX,2021-12-30,11400.0,PE,0.0,0.0,0.0,3.0,0.0,0,0.0,1425,0,01-DEC-2021,17221.9
3436,NIFTY,OPTIDX,2021-12-30,11500.0,PE,0.0,0.0,0.0,4.75,0.0,0,0.0,116750,0,01-DEC-2021,17221.9
3437,NIFTY,OPTIDX,2021-12-30,11600.0,PE,0.0,0.0,0.0,1.0,0.0,0,0.0,39400,0,01-DEC-2021,17221.9
3438,NIFTY,OPTIDX,2021-12-30,11700.0,PE,3.7,3.7,3.7,3.7,0.0,1,5.85,59450,0,01-DEC-2021,17221.9
3439,NIFTY,OPTIDX,2021-12-30,12000.0,PE,6.0,6.0,4.4,5.05,5.05,276,1656.74,145000,3250,01-DEC-2021,17221.9
3440,NIFTY,OPTIDX,2021-12-30,12200.0,PE,0.0,0.0,0.0,3.05,0.0,0,0.0,250,0,01-DEC-2021,17221.9
3441,NIFTY,OPTIDX,2021-12-30,12300.0,PE,0.0,0.0,0.0,1897.95,0.0,0,0.0,75,0,01-DEC-2021,17221.9
3442,NIFTY,OPTIDX,2021-12-30,12400.0,PE,0.0,0.0,0.0,3.85,0.0,0,0.0,350,0,01-DEC-2021,17221.9
3443,NIFTY,OPTIDX,2021-12-30,12500.0,PE,0.0,0.0,0.0,3.5,0.0,0,0.0,124150,0,01-DEC-2021,17221.9
3444,NIFTY,OPTIDX,2021-12-30,12700.0,PE,0.0,0.0,0.0,20.0,0.0,0,0.0,150,0,01-DEC-2021,17221.9
3445,NIFTY,OPTIDX,2021-12-30,13000.0,PE,9.3,9.3,6.45,6.85,6.85,769,5001.43,328150,7225,01-DEC-2021,17221.9
3446,NIFTY,OPTIDX,2021-12-30,13500.0,PE,11.1,11.1,8.4,8.8,8.8,517,3492.18,271750,200,01-DEC-2021,17221.9
3447,NIFTY,OPTIDX,2021-12-30,14000.0,PE,15.55,15.55,10.2,12.1,12.1,3607,25271.9,770975,-600,01-DEC-2021,17221.9
3448,NIFTY,OPTIDX,2021-12-30,14500.0,PE,21.65,21.65,14.3,15.45,15.45,2896,21020.35,833925,3625,01-DEC-2021,17221.9
3449,NIFTY,OPTIDX,2021-12-30,15000.0,PE,34.0,34.0,22.05,22.8,22.8,11996,90124.11,1893625,-15400,01-DEC-2021,17221.9
3450,NIFTY,OPTIDX,2021-12-30,15500.0,PE,54.1,54.1,33.05,34.1,34.1,10997,85442.8,1588700,62725,01-DEC-2021,17221.9
3451,NIFTY,OPTIDX,2021-12-30,15550.0,PE,31.65,47.3,31.15,32.65,32.65,119,927.39,10000,-450,01-DEC-2021,17221.9
