Date,Open,High,Low,Close,Adj Close,Volume
17-02-2020,2196.949951,2217,2190.199951,2203.25,2056.883057,1774724
18-02-2020,2199.949951,2221,2186.050049,2215.75,2068.55249,2486223
19-02-2020,2215.75,2230,2190.5,2196.350098,2050.44165,1760463
20-02-2020,2204.5,2214.399902,2151.25,2156.800049,2013.518799,2317278
24-02-2020,2156,2178.949951,2106.699951,2115.350098,1974.822632,3092877
25-02-2020,2115.5,2176.649902,2111,2156.149902,2012.911987,2674567
26-02-2020,2154,2163.899902,2112.949951,2123.600098,1982.524658,2686842
27-02-2020,2119.949951,2119.949951,2086.199951,2105.5,1965.627075,2349001
28-02-2020,2068,2069.5,1990,2000.150024,1867.275635,4298076
02-03-2020,2035,2053.949951,1985.699951,2001.300049,1868.349121,2667076
03-03-2020,2020,2060,2012,2036.199951,1900.930664,2757585
04-03-2020,2056,2094.449951,2025,2083.199951,1944.808105,3237002
05-03-2020,2085.699951,2147.75,2084.050049,2125.050049,1983.878296,3937056
06-03-2020,2098,2123.649902,2071.600098,2116.449951,1975.849609,2595027
09-03-2020,2075,2079.899902,1935,1972.349976,1841.322266,4940975
11-03-2020,1933,1987.300049,1920,1953.699951,1823.911255,6796449
12-03-2020,1904,1908.400024,1758.349976,1769.849976,1652.274902,8728786
13-03-2020,1687.900024,1820,1506.050049,1806.300049,1686.303467,8029720
16-03-2020,1755,1842.25,1675.849976,1696.400024,1583.704468,7844271
17-03-2020,1730,1731,1623.150024,1658,1547.855469,5713248
18-03-2020,1676.800049,1713.550049,1627.75,1654.400024,1544.494629,7258778
19-03-2020,1559.699951,1685.449951,1546.75,1636.349976,1538.805298,5135111
20-03-2020,1630,1869,1627,1797.449951,1690.301636,8547498
23-03-2020,1620,1750,1617.75,1669.699951,1570.167114,7003490
24-03-2020,1653.050049,1770,1632.849976,1703.150024,1601.623291,6350865
25-03-2020,1700,1810,1680,1750.300049,1645.962646,2765520
26-03-2020,1831.599976,1832.050049,1722.550049,1790.949951,1684.189209,4556067
27-03-2020,1820,1850,1750.400024,1824.5,1715.739258,4331250
30-03-2020,1766,1905,1763.550049,1778.5,1672.481689,8513547
31-03-2020,1837.400024,1855,1780,1826.099976,1717.243896,3927593
01-04-2020,1825.900024,1834.75,1702,1708.75,1606.889282,4941878
03-04-2020,1740,1740,1650,1654.199951,1555.591187,5735369
07-04-2020,1710,1785.849976,1705,1775.199951,1669.378174,5427577
08-04-2020,1760,1806,1701,1705.449951,1603.786011,6285615
09-04-2020,1750.449951,1778.800049,1731.199951,1766.150024,1660.867798,5307397
13-04-2020,1761,1787,1746,1759.25,1654.379028,2990438
15-04-2020,1785,1812,1727.800049,1735.150024,1631.715698,4761399
16-04-2020,1709.949951,1764.900024,1675.050049,1716.050049,1613.75415,6245533
17-04-2020,1800,1851.949951,1753,1806.199951,1698.530029,9895823
20-04-2020,1830,1830,1802.5,1818.650024,1710.238037,3244282
21-04-2020,1765,1794.599976,1727.699951,1737.650024,1634.066406,5122541
22-04-2020,1737.650024,1790,1719.150024,1769.5,1664.017944,3829836
23-04-2020,1780,1900,1760.849976,1878.25,1766.285522,5934366
24-04-2020,1840.699951,1851.949951,1807.800049,1818.550049,1710.144165,2987102
27-04-2020,1832.300049,1875,1825,1836.599976,1727.118042,3374741
28-04-2020,1865,1868,1832.599976,1859.050049,1748.229858,2678505
29-04-2020,1874,1912.550049,1850.050049,1905.650024,1792.052002,4241510
30-04-2020,1980,2032,1942.199951,2014.449951,1894.365967,5915544
04-05-2020,1966,1966,1913.650024,1930.449951,1815.373657,3729348
05-05-2020,1955.099976,1977,1927,1932.75,1817.536377,2905528
06-05-2020,1939.800049,1953.699951,1893.599976,1903.599976,1790.124268,3517431
07-05-2020,1910,1934.449951,1883.349976,1891.650024,1778.886475,3166754
08-05-2020,1939.099976,1939.5,1886.25,1893.400024,1780.53186,2686530
11-05-2020,1909,1951.400024,1909,1935.300049,1819.93457,2449841
12-05-2020,1933.400024,1956.5,1910.25,1949.5,1833.288086,3256595
13-05-2020,1994,1994,1925.650024,1949.650024,1833.429077,2656665
14-05-2020,1910,1923.099976,1891.099976,1902.349976,1788.94873,2263146
15-05-2020,1916,1917.400024,1865.199951,1892.900024,1780.06189,3173682
18-05-2020,1907,1952.949951,1872.099976,1945.599976,1829.620361,3727694
19-05-2020,1903,1966.449951,1903,1948.650024,1832.488647,3198693
20-05-2020,1950,1962.900024,1931.699951,1953.599976,1837.143433,2778505
21-05-2020,1946,1998,1941.150024,1991.199951,1872.502075,3400908
22-05-2020,1977.099976,2032,1961.25,2020.349976,1899.914673,3663418
26-05-2020,2015,2024,1925,1943,1827.175415,4575317
27-05-2020,1959,2010,1941.25,2005.300049,1885.761963,3482160
28-05-2020,1988.5,2014,1971.300049,2004.300049,1884.821167,3475681
29-05-2020,1982,2002.650024,1962.400024,1972.349976,1854.775757,7237735
01-06-2020,1990,2060,1981.099976,2045.25,1923.330078,3747773
02-06-2020,2060.199951,2081,2040.050049,2047.150024,1925.116943,2443886
03-06-2020,2051.850098,2063.75,2020,2046.150024,1929.832886,3699799
04-06-2020,2046.75,2100,2046.75,2091.550049,1972.651978,4048593
05-06-2020,2091.600098,2098,2040.300049,2048.25,1931.813232,3573289
08-06-2020,2078.25,2095,2062.100098,2071.75,1953.977295,2957841
09-06-2020,2063.100098,2095.5,2060.25,2072.050049,1954.260254,2909439
10-06-2020,2077.050049,2132,2073.5,2108.75,1988.873901,5168397
11-06-2020,2100,2105,2061.800049,2067.649902,1950.110229,2269513
12-06-2020,2011.199951,2049.199951,2011,2039.5,1923.560669,2842642
15-06-2020,2039.099976,2059,2000.949951,2029.900024,1914.506592,2399022
16-06-2020,2065,2073.949951,2031,2045.800049,1929.502563,2146528
17-06-2020,2046,2058.850098,2026.550049,2047.800049,1931.388916,2703527
18-06-2020,2045,2059.199951,2025.199951,2038.099976,1922.240356,1944389
19-06-2020,2042,2090,2032,2044.599976,1928.37085,5681758
22-06-2020,2050,2052.25,2019.150024,2027.949951,1912.667358,3196138
23-06-2020,2027,2044,2010,2035.300049,1919.599243,4205944
24-06-2020,2034,2064.25,2031.599976,2042.199951,1926.107056,2560937
25-06-2020,2035,2060,2009.25,2016.099976,1901.490723,3043931
26-06-2020,2025,2132,2019.949951,2118.850098,1998.399902,6300722
29-06-2020,2108,2127.600098,2091.300049,2101.649902,1982.177246,3076341
30-06-2020,2100,2111.899902,2075.050049,2082.149902,1963.786011,3071725
01-07-2020,2079.699951,2113.949951,2079.5,2092.050049,1973.123535,2503466
02-07-2020,2102,2165,2098,2157.149902,2034.522583,3758699
03-07-2020,2163.649902,2205,2160.25,2199.649902,2074.606689,4185208
06-07-2020,2205,2269.899902,2205,2263.199951,2134.543945,5190366
07-07-2020,2275,2302.699951,2232.149902,2269.899902,2140.863281,5630055
08-07-2020,2270,2274.399902,2207.600098,2218.899902,2092.762451,2793358
09-07-2020,2229,2244.5,2191.050049,2204.350098,2079.039795,3443998
10-07-2020,2205.25,2249.850098,2176,2222.350098,2096.016602,9610320
13-07-2020,2220,2244.949951,2210,2220,2093.800293,2963503
14-07-2020,2210,2239,2165,2171.949951,2048.481445,2976738
15-07-2020,2185,2260,2181.100098,2233.899902,2106.909424,5569321
16-07-2020,2244,2333,2220.100098,2234.75,2112.439697,8582118
17-07-2020,2237,2243.899902,2190.050049,2200.75,2080.300049,4509135
20-07-2020,2201,2226.899902,2190.800049,2207.899902,2087.059082,2952646
21-07-2020,2230,2238.649902,2201.149902,2225.050049,2103.270264,2665286
22-07-2020,2231,2231,2184.199951,2190.949951,2071.036621,2861534
23-07-2020,2190.949951,2190.949951,2163,2171.199951,2052.367432,2265766
