,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
529,59670,HDFCBANK,OPTSTK,2021-10-28,1640.0,PE,59.95,60.5,40.35,44.5,44.5,1382,12801.58,327800,151250,2021-10-11,1631.8,17.0,28.564453125,-0.5201336266698349,-1.1788226780316409,0.003960825023845949,1.4031415507128073,47.15,2.6499999999999986
212,59762,HDFCBANK,OPTSTK,2021-11-25,1640.0,PE,0.0,0.0,0.0,147.9,74.45,0,0.0,0,0,2021-10-11,1636.4,45.0,63.78173828125,-0.4593133227123849,-1.6160200338006798,0.0010829239447326946,2.280304785685292,47.15,-100.75
531,59854,HDFCBANK,OPTSTK,2021-12-30,1640.0,PE,0.0,0.0,0.0,121.95,96.3,0,0.0,0,0,2021-10-11,1641.95,80.0,40.164947509765625,-0.4600377600440313,-0.7659661439136756,0.001285636431357538,3.051282041297089,47.15,-74.80000000000001
528,59624,HDFCBANK,OPTSTK,2021-10-28,1640.0,CE,27.5,44.5,26.8,37.0,37.0,17734,163663.78,2795650,644050,2021-10-11,1631.8,17.0,29.11376953125,0.4807138618143413,-1.201618658230346,0.0038865010224972286,1.4032890634783308,36.65,-0.3500000000000014
532,61909,HDFCBANK,OPTSTK,2021-11-25,1640.0,CE,62.6,64.8,58.0,60.95,60.95,112,1048.34,76450,24200,2021-10-12,1633.0,44.0,28.41949462890625,0.5023882657939618,-0.7304694425551348,0.0024758244188423442,2.2618738223258052,39.8,-21.150000000000006
534,61956,HDFCBANK,OPTSTK,2021-11-25,1640.0,PE,0.0,0.0,0.0,147.9,75.5,0,0.0,0,0,2021-10-12,1633.0,44.0,63.8427734375,-0.4635341267921425,-1.6341272246763752,0.0010975210677496056,2.2524584699049717,41.0,-106.9
540,62003,HDFCBANK,OPTSTK,2021-12-30,1640.0,CE,0.0,0.0,0.0,92.6,100.7,0,0.0,0,0,2021-10-12,1636.9,79.0,30.975341796875,0.5234935897647512,-0.5945719415849362,0.0016883044249155971,3.0328113047616942,39.8,-52.8
542,62050,HDFCBANK,OPTSTK,2021-12-30,1640.0,PE,0.0,0.0,0.0,121.95,97.45,0,0.0,0,0,2021-10-12,1636.9,79.0,39.646148681640625,-0.4673373471437116,-0.7597739535854503,0.0013169247298330908,3.027892712365561,41.0,-80.95
432,61814,HDFCBANK,OPTSTK,2021-10-28,1620.0,CE,46.3,50.5,41.05,44.75,44.75,3746,34324.21,1630200,150700,2021-10-12,1628.35,16.0,29.815673828125,0.5452101486363684,-1.2591147209898328,0.0038994502791676084,1.351358728430537,48.75,4.0
435,61861,HDFCBANK,OPTSTK,2021-10-28,1620.0,PE,35.95,37.85,30.75,35.4,35.4,2308,20999.34,793650,127600,2021-10-12,1628.35,16.0,29.052734375,-0.4542492204287864,-1.2267046313137144,0.004001228201980232,1.3511481465172366,29.95,-5.449999999999999
