,Realised_PNL
1970-01-01 00:00:00.000000289,13889.999999999853
1970-01-01 00:00:00.000000290,13889.999999999853
1970-01-01 00:00:00.000000291,13889.999999999853
1970-01-01 00:00:00.000000292,13889.999999999853
1970-01-01 00:00:00.000000293,13889.999999999853
1970-01-01 00:00:00.000000294,13889.999999999853
1970-01-01 00:00:00.000000295,13889.999999999853
1970-01-01 00:00:00.000000296,13889.999999999853
1970-01-01 00:00:00.000000297,13889.999999999853
1970-01-01 00:00:00.000000298,13889.999999999853
1970-01-01 00:00:00.000000299,13889.999999999853
1970-01-01 00:00:00.000000300,13889.999999999853
1970-01-01 00:00:00.000000301,13889.999999999853
1970-01-01 00:00:00.000000302,13889.999999999853
1970-01-01 00:00:00.000000303,13409.99999999988
1970-01-01 00:00:00.000000304,12329.999999999907
1970-01-01 00:00:00.000000305,12329.999999999907
1970-01-01 00:00:00.000000306,12329.999999999907
1970-01-01 00:00:00.000000307,12329.999999999907
1970-01-01 00:00:00.000000308,12329.999999999907
1970-01-01 00:00:00.000000309,9449.999999999865
1970-01-01 00:00:00.000000310,9449.999999999865
1970-01-01 00:00:00.000000311,8414.99999999985
1970-01-01 00:00:00.000000312,8414.99999999985
1970-01-01 00:00:00.000000313,8414.99999999985
1970-01-01 00:00:00.000000314,7514.999999999851
1970-01-01 00:00:00.000000315,7514.999999999851
1970-01-01 00:00:00.000000316,5099.9999999998645
1970-01-01 00:00:00.000000317,5099.9999999998645
1970-01-01 00:00:00.000000318,5099.9999999998645
1970-01-01 00:00:00.000000319,5099.9999999998645
1970-01-01 00:00:00.000000320,5099.9999999998645
1970-01-01 00:00:00.000000321,6659.999999999878
1970-01-01 00:00:00.000000322,6659.999999999878
1970-01-01 00:00:00.000000323,6659.999999999878
1970-01-01 00:00:00.000000324,6659.999999999878
1970-01-01 00:00:00.000000325,6659.999999999878
1970-01-01 00:00:00.000000326,6659.999999999878
1970-01-01 00:00:00.000000327,6659.999999999878
1970-01-01 00:00:00.000000328,6659.999999999878
1970-01-01 00:00:00.000000329,6659.999999999878
1970-01-01 00:00:00.000000330,6659.999999999878
1970-01-01 00:00:00.000000331,6659.999999999878
1970-01-01 00:00:00.000000332,6659.999999999878
1970-01-01 00:00:00.000000333,6659.999999999878
1970-01-01 00:00:00.000000334,6659.999999999878
1970-01-01 00:00:00.000000335,6659.999999999878
1970-01-01 00:00:00.000000336,6659.999999999878
1970-01-01 00:00:00.000000337,6659.999999999878
1970-01-01 00:00:00.000000338,6659.999999999878
1970-01-01 00:00:00.000000339,6659.999999999878
1970-01-01 00:00:00.000000340,6659.999999999878
1970-01-01 00:00:00.000000341,6659.999999999878
1970-01-01 00:00:00.000000342,6659.999999999878
1970-01-01 00:00:00.000000343,6659.999999999878
1970-01-01 00:00:00.000000344,7124.9999999998645
1970-01-01 00:00:00.000000345,7124.9999999998645
1970-01-01 00:00:00.000000346,7124.9999999998645
