,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
1866,86921,SBIN,OPTSTK,2021-12-30,525.0,CE,0.0,0.0,0.0,17.85,36.8,0,0.0,0,0,2021-10-27,523.9,64.0,21.00372314453125,0.508029197344824,-0.14358212084334415,0.008656331047912332,0.8750120795956726,0.05,-17.8
1870,86988,SBIN,OPTSTK,2021-12-30,525.0,PE,0.0,0.0,0.0,84.8,39.1,0,0.0,0,0,2021-10-27,523.9,64.0,96.8017578125,-0.42171853202572385,-0.6490905394398055,0.001842319102241105,0.8582859539516186,24.3,-60.5
948,89454,SBIN,OPTSTK,2021-11-25,505.0,PE,21.0,30.9,21.0,28.35,28.35,606,4818.55,142500,36000,2021-10-28,503.65,28.0,49.6978759765625,-0.48030940564110863,-0.4932781324428771,0.00574753190572644,0.5558301008644391,27.15,-1.2000000000000028
140,89522,SBIN,OPTSTK,2021-12-30,505.0,CE,0.0,0.0,0.0,22.95,36.25,0,0.0,0,0,2021-10-28,506.0,63.0,26.8096923828125,0.5292767472923144,-0.17796482077989886,0.007059473727043398,0.8363977884596261,27.05,4.100000000000001
149,89590,SBIN,OPTSTK,2021-12-30,505.0,PE,0.0,0.0,0.0,70.15,36.55,0,0.0,0,0,2021-10-28,506.0,63.0,84.7625732421875,-0.42791194090927853,-0.5549444279526498,0.002202231935591025,0.8249277393012443,27.15,-43.00000000000001
600,89313,SBIN,OPTSTK,2021-10-28,500.0,PE,0.15,1.0,0.05,0.05,501.35,6348,47638.47,1927500,-543000,2021-10-28,501.65,1e-07,500.0,-0.0,-0.0,0.0,0.0,24.3,24.25
596,89243,SBIN,OPTSTK,2021-10-28,500.0,CE,19.95,20.0,0.05,1.65,501.35,3101,23696.68,2349000,-1350000,2021-10-28,501.65,1e-07,250.0,1.0,0.0,0.0,0.0,29.55,27.900000000000002
942,89384,SBIN,OPTSTK,2021-11-25,505.0,CE,34.5,34.75,26.8,28.05,28.05,939,7545.45,342000,75000,2021-10-28,503.65,28.0,51.57470703125,0.5210081059312899,-0.5118203133571072,0.005537441645785878,0.5557363133566854,27.05,-1.0
340,92024,SBIN,OPTSTK,2022-01-27,510.0,PE,0.0,0.0,0.0,45.8,45.1,0,0.0,0,0,2021-10-29,509.15,90.0,45.0439453125,-0.45843457406521,-0.25103181839039773,0.0034840733598744595,1.0031476371971406,20.65,-25.15
1263,91769,SBIN,OPTSTK,2021-11-25,505.0,PE,30.8,36.05,23.0,27.15,27.15,934,7457.72,217500,75000,2021-10-29,504.8,27.0,49.407958984375,-0.4743888124926996,-0.5001172619767443,0.005868973991269944,0.5465988213616513,18.45,-8.7
1127,91905,SBIN,OPTSTK,2021-12-30,505.0,PE,0.0,0.0,0.0,70.15,35.85,0,0.0,0,0,2021-10-29,506.95,62.0,85.9375,-0.4254483479897252,-0.5675614265192527,0.0021829311887602123,0.8189395419739617,18.45,-51.7
1116,91837,SBIN,OPTSTK,2021-12-30,505.0,CE,0.0,0.0,0.0,22.95,36.3,0,0.0,0,0,2021-10-29,506.95,62.0,26.4129638671875,0.5357899323488339,-0.17683478426927055,0.0071998927593727976,0.8301799585857849,32.5,9.55
336,91965,SBIN,OPTSTK,2022-01-27,510.0,CE,0.0,0.0,0.0,42.0,42.05,0,0.0,0,0,2021-10-29,509.15,90.0,42.1142578125,0.5384722628586062,-0.2348883966197446,0.0037293627134421335,1.0039334322307554,29.8,-12.2
1260,91699,SBIN,OPTSTK,2021-11-25,505.0,CE,26.4,33.3,22.0,27.05,27.05,1595,12767.73,424500,82500,2021-10-29,504.8,27.0,49.591064453125,0.5257146533469556,-0.5019622945837305,0.005847206111887254,0.5465896771210231,32.5,5.449999999999999
