,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl,positions,strategy_pnl
756,142938,KOTAKBANK,OPTSTK,2021-12-30,1960.0,CE,70.0,76.0,57.85,64.4,64.4,1893,15341.11,170400,66800,2021-12-01,1961.95,29.0,28.74755859375,0.5210494054150362,-1.0919894837652473,0.002505898694820995,2.203157177742185,66.25,1.8499999999999943,1.0,1.8499999999999943
767,143262,KOTAKBANK,OPTSTK,2022-02-24,1980.0,PE,0.0,0.0,0.0,119.0,150.4,0,0.0,0,0,2021-12-01,1975.0,85.0,30.6243896484375,-0.47735879974595236,-0.6838463810248007,0.0013646218769839086,3.7961208732252247,62.9,-56.1,1.0,-56.1
766,143198,KOTAKBANK,OPTSTK,2022-02-24,1980.0,CE,0.0,0.0,0.0,193.5,141.95,0,0.0,0,0,2021-12-01,1975.0,85.0,51.605224609375,0.5455251295610736,-1.1466869832613953,0.0008058351322057855,3.777462236236899,55.7,-137.8,1.0,-137.8
765,143133,KOTAKBANK,OPTSTK,2022-01-27,1960.0,PE,0.0,0.0,0.0,90.25,116.6,0,0.0,0,0,2021-12-01,1968.4,57.0,30.500411987304688,-0.4618610130861401,-0.8264652625757334,0.001673822264599605,3.089041550417416,53.4,-36.85,1.0,-36.85
764,143069,KOTAKBANK,OPTSTK,2022-01-27,1960.0,CE,0.0,0.0,0.0,247.55,122.05,0,0.0,0,0,2021-12-01,1968.4,57.0,78.89556884765625,0.5673396301101935,-2.1169750876363556,0.0006407766402957265,3.0589190687825787,66.25,-181.3,1.0,-181.3
758,143005,KOTAKBANK,OPTSTK,2021-12-30,1960.0,PE,54.0,69.0,46.5,61.35,61.35,1994,16117.23,192000,-11600,2021-12-01,1961.95,29.0,28.26690673828125,-0.47913733745907006,-1.0737581483014775,0.002548571898382752,2.2032114506941793,53.4,-7.950000000000003,1.0,-7.950000000000003
23,145571,KOTAKBANK,OPTSTK,2022-01-27,1980.0,PE,98.0,98.0,98.0,98.0,120.8,1,8.31,400,400,2021-12-02,1979.65,56.0,31.646728515625,-0.47585755723885714,-0.8724903871784339,0.0016227403661584975,3.0878048995092064,95.65,-2.3499999999999943,-0.0,0.0
67,145443,KOTAKBANK,OPTSTK,2021-12-30,1980.0,PE,73.9,76.0,57.45,62.9,62.9,394,3221.26,138800,-5600,2021-12-02,1972.7,28.0,27.099609375,-0.5046604615251378,-1.054748853997336,0.002694162404518085,2.1795862444548915,95.65,32.75000000000001,-0.0,-0.0
64,145376,KOTAKBANK,OPTSTK,2021-12-30,1980.0,CE,54.3,63.35,51.1,55.7,55.7,1328,10823.63,128000,18400,2021-12-02,1972.7,28.0,27.16064453125,0.4954173714604762,-1.0571268039197035,0.0026881141829667365,2.179591171019199,37.3,-18.400000000000006,-0.0,0.0
768,145635,KOTAKBANK,OPTSTK,2022-02-24,1980.0,CE,0.0,0.0,0.0,193.5,146.5,0,0.0,0,0,2021-12-02,1987.6,84.0,50.079345703125,0.5541163451234385,-1.1234693800042281,0.000827768378747314,3.768876234118463,37.3,-156.2,-0.0,0.0
20,145507,KOTAKBANK,OPTSTK,2022-01-27,1980.0,CE,0.0,0.0,0.0,235.5,117.05,0,0.0,0,0,2021-12-02,1979.65,56.0,76.47705078125,0.559297390349129,-2.088940671483353,0.000665288281652913,3.0592361082979447,37.3,-198.2,-0.0,0.0
769,145699,KOTAKBANK,OPTSTK,2022-02-24,1980.0,PE,0.0,0.0,0.0,119.0,144.25,0,0.0,0,0,2021-12-02,1987.6,84.0,32.379150390625,-0.45924766701856296,-0.7293141220146261,0.0012854305259254704,3.78406385035763,95.65,-23.349999999999994,-0.0,0.0
773,148005,KOTAKBANK,OPTSTK,2022-01-27,1920.0,PE,0.0,0.0,0.0,75.95,111.95,0,0.0,0,0,2021-12-03,1928.05,55.0,26.83258056640625,-0.4632503705826691,-0.7252456921377226,0.001978092286353474,2.9731402813722814,69.35,-6.6000000000000085,-1.0,6.6000000000000085
760,148070,KOTAKBANK,OPTSTK,2022-02-24,1940.0,CE,0.0,0.0,0.0,215.65,137.3,0,0.0,0,0,2021-12-03,1938.05,83.0,58.917999267578125,0.554444819162024,-1.2963966799138198,0.0007258298660120086,3.652565456073067,36.25,-179.4,-1.0,179.4
762,148134,KOTAKBANK,OPTSTK,2022-02-24,1940.0,PE,0.0,0.0,0.0,101.55,145.65,0,0.0,0,0,2021-12-03,1938.05,83.0,27.28271484375,-0.4771449114268022,-0.6049697830887149,0.0015796156252086864,3.6809014267043265,80.75,-20.799999999999997,-1.0,20.799999999999997
772,147941,KOTAKBANK,OPTSTK,2022-01-27,1920.0,CE,0.0,0.0,0.0,272.85,117.6,0,0.0,0,0,2021-12-03,1928.05,55.0,90.6829833984375,0.5745197440742816,-2.4184118648635713,0.0005775172239461338,2.933574692466244,44.45,-228.40000000000003,-1.0,228.40000000000003
770,147810,KOTAKBANK,OPTSTK,2021-12-30,1920.0,CE,89.5,89.5,60.0,65.45,65.45,810,6435.51,101200,94400,2021-12-03,1924.1,27.0,30.399322509765625,0.526764839268404,-1.1726393159828268,0.002502097461007431,2.083024154328788,44.45,-21.0,-1.0,21.0
771,147877,KOTAKBANK,OPTSTK,2021-12-30,1920.0,PE,34.5,66.0,29.85,61.1,61.1,2084,16481.3,195600,102400,2021-12-03,1924.1,27.0,30.2734375,-0.47326059862801023,-1.167788370235872,0.002512512623456272,2.0830330877600893,69.35,8.249999999999993,-1.0,-8.249999999999993
774,150246,KOTAKBANK,OPTSTK,2021-12-30,1900.0,CE,81.5,81.5,50.25,54.05,54.05,2424,18996.04,287200,194800,2021-12-06,1894.45,24.0,29.262542724609375,0.4994146032427125,-1.1814701613945802,0.0028064363790687497,1.9379917965654803,54.05,0.0,1.0,0.0
422,150569,KOTAKBANK,OPTSTK,2022-02-24,1900.0,PE,0.0,0.0,0.0,85.75,135.4,0,0.0,0,0,2021-12-06,1903.3,80.0,24.618148803710938,-0.4710290222782426,-0.5455117655309172,0.001813851388813072,3.54542834154085,58.65,-27.1,1.0,-27.1
542,150441,KOTAKBANK,OPTSTK,2022-01-27,1900.0,PE,94.25,96.2,81.75,92.0,112.1,15,119.28,8000,0,2021-12-06,1902.05,52.0,32.53173828125,-0.4720263362886121,-0.8936999872774413,0.0017039475167398338,2.857049871522653,58.65,-33.35,1.0,-33.35
540,150377,KOTAKBANK,OPTSTK,2022-01-27,1900.0,CE,87.0,87.0,87.0,87.0,108.05,1,7.94,400,400,2021-12-06,1902.05,52.0,30.059814453125,0.526404329036783,-0.8260143108974857,0.001844565078264738,2.8578183164536415,54.05,-32.95,1.0,-32.95
420,150505,KOTAKBANK,OPTSTK,2022-02-24,1900.0,CE,0.0,0.0,0.0,239.5,137.1,0,0.0,0,0,2021-12-06,1903.3,80.0,67.230224609375,0.5646964789254291,-1.4740052587194694,0.0006571708230541452,3.507958552353668,,,1.0,
775,150313,KOTAKBANK,OPTSTK,2021-12-30,1900.0,PE,45.0,63.65,45.0,58.65,58.65,6726,52660.74,554400,-254000,2021-12-06,1894.45,24.0,28.774261474609375,-0.501099071918374,-1.1617527313394507,0.002854052093749694,1.9379865284639997,,,1.0,
0,652,AXISBANK,OPTSTK,2021-09-30,800.0,CE,19.6,36.0,19.6,22.7,22.7,15066,149756.59,2031600,-55200,2021-09-01,801.85,29.0,24.169921875,0.5270945550094098,-0.3748865566860314,0.0072859463135056595,0.8996065605938094,23.85,1.1500000000000021,,
2,698,AXISBANK,OPTSTK,2021-09-30,800.0,PE,23.7,23.7,16.25,20.9,20.9,5308,52170.6,553200,372000,2021-09-01,801.85,29.0,24.169921875,-0.4729054449905902,-0.3748865566860314,0.0072859463135056595,0.8996065605938094,18.25,-2.6499999999999986,,
8,744,AXISBANK,OPTSTK,2021-10-28,800.0,CE,39.95,50.1,36.7,37.4,37.4,58,585.77,56400,36000,2021-09-01,803.8,57.0,28.076171875,0.5391076075916278,-0.31059088654279804,0.004451842385286334,1.2611178341377416,23.85,-13.549999999999997,,
11,790,AXISBANK,OPTSTK,2021-10-28,800.0,PE,31.0,31.0,31.0,31.0,62.1,1,9.97,1200,1200,2021-09-01,803.8,57.0,26.0009765625,-0.4611669503561727,-0.28765363025114676,0.004807479002754562,1.2612031617276194,18.25,-12.75,,
29,883,AXISBANK,OPTSTK,2021-11-25,810.0,PE,0.0,0.0,0.0,109.7,80.3,0,0.0,0,0,2021-09-01,806.8,85.0,69.76318359375,-0.4377914367892525,-0.6296411407089928,0.0014508803400217908,1.5343192269413324,23.1,-86.6,,
26,837,AXISBANK,OPTSTK,2021-11-25,810.0,CE,0.0,0.0,0.0,53.7,76.35,0,0.0,0,0,2021-09-01,806.8,85.0,35.58349609375,0.5250394912981089,-0.3244756592346263,0.0028739285951581476,1.55018107058837,18.8,-34.900000000000006,,
76,2856,AXISBANK,OPTSTK,2021-10-28,810.0,CE,35.9,36.1,35.9,36.1,62.45,3,30.45,3600,3600,2021-09-02,808.25,56.0,29.23583984375,0.5153039615997725,-0.3294436968239097,0.004307065615421326,1.2620706038026075,15.35,-20.75,,
81,2903,AXISBANK,OPTSTK,2021-10-28,810.0,PE,0.0,0.0,0.0,129.65,65.0,0,0.0,0,0,2021-09-02,808.25,56.0,102.53143310546875,-0.42253222058623996,-1.1343570248938641,0.0012057774099322746,1.2391125622659067,24.8,-104.85000000000001,,
44,2762,AXISBANK,OPTSTK,2021-09-30,810.0,CE,17.05,21.2,15.25,18.8,18.8,4017,39930.49,1854000,591600,2021-09-02,805.95,28.0,23.3154296875,0.481920889121259,-0.37039054147380196,0.007657371214775443,0.8896199040952333,15.35,-3.450000000000001,,
126,2950,AXISBANK,OPTSTK,2021-11-25,810.0,CE,0.0,0.0,0.0,53.7,77.75,0,0.0,0,0,2021-09-02,811.95,84.0,33.99658203125,0.5383543393836254,-0.31300066134422033,0.002998741508880582,1.5467469952565573,15.35,-38.35,,
129,2997,AXISBANK,OPTSTK,2021-11-25,810.0,PE,0.0,0.0,0.0,109.7,78.0,0,0.0,0,0,2021-09-02,811.95,84.0,71.6552734375,-0.4290201086140828,-0.6522648412890073,0.0014066690827611084,1.5292732562402795,24.8,-84.9,,
