,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff
7748,BANKNIFTY,2021-11-23,2021-12-30,PE,34200,0.0,0.0,0.0,1006.65,0.0,369.25,0,0.0,0.0,0,0,-,37424.8,0.10136986301369863
7749,BANKNIFTY,2021-11-23,2021-12-30,PE,34300,12.15,179.25,12.15,121.5,121.5,121.5,18,154.85,0.5,450,375,-,37424.8,0.10136986301369863
7750,BANKNIFTY,2021-11-23,2021-12-30,PE,34400,195.3,195.3,109.65,115.0,115.0,410.85,19,164.04,0.64,125,-50,-,37424.8,0.10136986301369863
7751,BANKNIFTY,2021-11-23,2021-12-30,PE,34500,186.75,243.45,117.8,128.6,147.95,128.6,6409,55518.42,240.79,48750,28875,-,37424.8,0.10136986301369863
7752,BANKNIFTY,2021-11-23,2021-12-30,PE,34600,174.0,174.0,145.0,145.0,145.0,145.0,12,104.25,0.45,300,300,-,37424.8,0.10136986301369863
7753,BANKNIFTY,2021-11-23,2021-12-30,PE,33800,0.0,0.0,0.0,150.0,150.0,295.6,0,0.0,0.0,50,0,-,37424.8,0.10136986301369863
7754,BANKNIFTY,2021-11-23,2021-12-30,PE,33900,0.0,0.0,0.0,919.4,0.0,312.9,0,0.0,0.0,0,0,-,37424.8,0.10136986301369863
7755,BANKNIFTY,2021-11-23,2021-12-30,PE,34000,159.95,182.3,86.5,97.65,98.9,97.65,8750,74630.04,255.04,93825,34975,-,37424.8,0.10136986301369863
7756,BANKNIFTY,2021-11-23,2021-12-30,PE,34100,0.0,0.0,0.0,976.95,0.0,349.7,0,0.0,0.0,0,0,-,37424.8,0.10136986301369863
7757,BANKNIFTY,2021-11-23,2021-12-30,PE,33400,0.0,0.0,0.0,785.9,0.0,233.7,0,0.0,0.0,0,0,-,37424.8,0.10136986301369863
7758,BANKNIFTY,2021-11-23,2021-12-30,PE,33500,158.95,158.95,61.0,74.3,77.35,74.3,1109,9311.52,23.64,9350,2900,-,37424.8,0.10136986301369863
7759,BANKNIFTY,2021-11-23,2021-12-30,PE,33600,0.0,0.0,0.0,837.55,0.0,263.25,0,0.0,0.0,0,0,-,37424.8,0.10136986301369863
7760,BANKNIFTY,2021-11-23,2021-12-30,PE,33700,0.0,0.0,0.0,864.25,0.0,279.05,0,0.0,0.0,0,0,-,37424.8,0.10136986301369863
7761,BANKNIFTY,2021-11-23,2021-12-30,PE,31500,60.05,70.0,33.3,38.0,33.75,38.0,378,2981.35,4.6,4825,2475,-,37424.8,0.10136986301369863
7762,BANKNIFTY,2021-11-23,2021-12-30,PE,33000,89.95,105.0,51.1,60.85,62.0,60.85,2901,23985.7,52.45,44500,21325,-,37424.8,0.10136986301369863
7763,BANKNIFTY,2021-11-23,2021-12-30,PE,33100,0.0,0.0,0.0,219.1,0.0,194.2,0,0.0,0.0,0,0,-,37424.8,0.10136986301369863
7764,BANKNIFTY,2021-11-23,2021-12-30,PE,33200,0.0,0.0,0.0,748.55,0.0,206.75,0,0.0,0.0,0,0,-,37424.8,0.10136986301369863
7765,BANKNIFTY,2021-11-23,2021-12-30,PE,33300,0.0,0.0,0.0,92.0,92.0,219.9,0,0.0,0.0,25,0,-,37424.8,0.10136986301369863
7766,BANKNIFTY,2021-11-23,2021-12-30,PE,24000,0.0,0.0,0.0,3.05,3.05,0.0,0,0.0,0.0,375,0,-,37424.8,0.10136986301369863
7767,BANKNIFTY,2021-11-23,2021-12-30,PE,27000,0.0,0.0,0.0,2544.9,0.0,0.55,0,0.0,0.0,0,0,-,37424.8,0.10136986301369863
7768,BANKNIFTY,2021-11-23,2021-12-30,PE,28500,0.0,0.0,0.0,3172.15,0.0,3.6,0,0.0,0.0,0,0,-,37424.8,0.10136986301369863
7769,BANKNIFTY,2021-11-23,2021-12-30,PE,30000,34.0,40.0,22.15,27.05,27.0,27.05,783,5878.29,5.79,18400,4500,-,37424.8,0.10136986301369863
