,index,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,strike_distance,impliedvolatility,delta,theta,gamma,vega,sabrsigma
7,35062,127377,AXISBANK,OPTSTK,2021-11-25,630,PE,0.6,0.85,0.3,0.6,0.6,175,1324.01,36000,12000,2021-11-23,686.05,2.0,56.049999999999955,68.359375,-0.043666287554868496,-0.8029343058414318,0.002664987460125488,0.04698312738180722,73.31618092256629
8,35063,127378,AXISBANK,OPTSTK,2021-11-25,640,PE,1.35,1.6,0.45,0.75,0.75,388,2983.82,264000,32400,2021-11-23,686.05,2.0,46.049999999999955,60.05859375,-0.056468758841052,-0.8660431346899974,0.003723921588326106,0.05767988097057284,66.44416245337993
9,35064,127379,AXISBANK,OPTSTK,2021-11-25,650,PE,2.0,2.55,0.6,1.0,1.0,939,7336.51,537600,-85200,2021-11-23,686.05,2.0,36.049999999999955,52.734375,-0.08041195839057313,-0.9992092467314422,0.0055728860210897055,0.07579187175207384,59.615326600400536
10,35065,127380,AXISBANK,OPTSTK,2021-11-25,660,PE,2.95,4.05,0.95,1.35,1.35,1267,10059.5,225600,-117600,2021-11-23,686.05,2.0,26.049999999999955,44.921875,-0.11884825692637874,-1.133143327113659,0.008709243204521705,0.10089902321429452,52.95988422990978
11,35066,127381,AXISBANK,OPTSTK,2021-11-25,670,PE,4.35,6.9,1.7,2.45,2.45,1738,14038.56,319200,-46800,2021-11-23,686.05,2.0,16.049999999999955,40.22216796875,-0.2089771081750924,-1.467500212699328,0.014068848243306155,0.1459394445211884,46.855625105505005
12,35067,127382,AXISBANK,OPTSTK,2021-11-25,680,PE,7.95,11.5,3.35,4.95,4.95,3338,27463.16,567600,-38400,2021-11-23,686.05,2.0,6.0499999999999545,37.65869140625,-0.37006176536489765,-1.8053005179095034,0.01974378349618431,0.191753929889331,42.35482236488565
13,35068,127383,AXISBANK,OPTSTK,2021-11-25,690,PE,14.2,17.65,6.75,9.75,9.75,1851,15529.53,354000,21600,2021-11-23,686.05,2.0,3.9500000000000455,37.4755859375,-0.5765538825859418,-1.863061448173141,0.02057508501096854,0.19885601802520353,41.39335043046417
14,35015,127330,AXISBANK,OPTSTK,2021-11-25,690,CE,8.3,11.0,5.4,5.95,5.95,5242,43903.53,586800,306000,2021-11-23,686.05,2.0,3.9500000000000455,38.2080078125,0.4251063942674491,-1.9010110671714018,0.02019701463488173,0.19901703082770766,41.39335043046417
15,35016,127331,AXISBANK,OPTSTK,2021-11-25,700,CE,4.8,6.75,2.8,3.2,3.2,7553,63864.49,1768800,510000,2021-11-23,686.05,2.0,13.950000000000045,41.015625,0.25854665328964954,-1.684185352136449,0.015527535867565768,0.16424817148454515,44.39829459632455
16,35017,127332,AXISBANK,OPTSTK,2021-11-25,710,CE,2.4,4.1,1.5,1.7,1.7,2589,22140.05,1369200,-231600,2021-11-23,686.05,2.0,23.950000000000045,43.9453125,0.14949585959656148,-1.2979360728899867,0.010424122616533284,0.1181410256568308,49.446022351151285
