,level_0,index,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff,impliedvolatility,alpha,rho,nu,Beta,sabrsigma
1097,340,1044,ICICIBANK,2021-10-19,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.15,0,0.0,0.0,0,0,-,753.15,0.19726027397260273,0.5549863634106283,1.8178605323406265,-1.673204900422571,0.38060356327389233,0.8,0.6332362100391498
1129,372,1138,ICICIBANK,2021-10-20,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.15,0,0.0,0.0,0,0,745.85,754.9,0.19452054794520549,0.5609335525155823,1.8258882019733846,-1.74242409862157,0.39005726649904215,0.8,0.6419767274372781
1162,405,1232,ICICIBANK,2021-10-21,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.1,0,0.0,0.0,0,0,-,763.35,0.1917808219178082,0.5748184031176368,1.8410610192415675,-2.0221966006198757,0.4278468358085305,0.8,0.6720626400886069
1003,246,772,ICICIBANK,2021-10-13,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.45,0,0.0,0.0,0,0,709.95,716.1,0.2136986301369863,0.4902667820523755,1.7081050390730548,-0.2696197945442695,0.303922928587227,0.8,0.5047661957632898
1195,438,1328,ICICIBANK,2021-10-22,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.1,0,0.0,0.0,0,0,-,765.4,0.18904109589041096,0.5813640190231291,1.854386860618795,-2.0788283728289665,0.4347069626916383,0.8,0.6811203125037739
1809,1052,3215,ICICIBANK,2021-11-17,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,-,766.55,0.1178082191780822,0.7381392603303751,1.3508445021225117,-0.4213059941001194,3.2837585479505043,0.8,0.9454795423428527
890,133,428,ICICIBANK,2021-10-07,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.7,0,0.0,0.0,0,0,-,708.65,0.23013698630136986,0.4637603486132181,1.6423510246696462,0.12703174581780266,0.5144871163837831,0.8,0.4698584878042515
1235,478,1423,ICICIBANK,2021-10-25,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,841.7,848.85,0.18082191780821918,0.687411058298404,2.520345703545044,-1.8301313358363989,0.3091980952995152,0.8,0.8334581447469901
1275,518,1535,ICICIBANK,2021-10-26,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,829.4,835.5,0.1780821917808219,0.6785095300550341,2.236460964173297,-2.563771028524733,0.6813611133723536,0.8,0.8856469716800559
1315,558,1647,ICICIBANK,2021-10-27,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,835,839.85,0.17534246575342466,0.6884745590707654,2.260925154273015,-2.4615303693644885,0.7446995954462144,0.8,0.9020644040488837
947,190,600,ICICIBANK,2021-10-11,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.45,0,0.0,0.0,0,0,713.3,720.35,0.2191780821917808,0.4891129968360404,1.6911542824890355,-0.4733436387545718,0.2878683861089179,0.8,0.5099525025486933
1352,595,1759,ICICIBANK,2021-10-28,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,-,806.2,0.1726027397260274,0.6565452802161393,2.0636275649013536,-2.1690093394518666,0.6156835175577275,0.8,0.8043101156851166
918,161,514,ICICIBANK,2021-10-08,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.65,0,0.0,0.0,0,0,-,710.25,0.2273972602739726,0.468430007002199,1.6584276013688042,0.05530349886899909,0.392356982694865,0.8,0.47465644685362923
1390,633,1872,ICICIBANK,2021-10-29,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,802.05,808.0,0.16986301369863013,0.6638850227781962,2.0302102370345096,-1.9519485394359093,0.691620215257546,0.8,0.8026073213216244
1408,651,1965,ICICIBANK,2021-11-01,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,-,810.7,0.16164383561643836,0.6837198687038892,2.0139877239835893,-1.589337581106093,0.8940008334559336,0.8,0.8221744041384981
974,217,686,ICICIBANK,2021-10-12,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.45,0,0.0,0.0,0,0,708.6,716.4,0.21643835616438356,0.48751139630417384,1.696774357596941,-0.2835990606045129,0.3034187406402745,0.8,0.5024064071528891
1447,690,2078,ICICIBANK,2021-11-02,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,800.95,806.6,0.1589041095890411,0.6847349574011489,1.7977299614281554,-0.9520515866938642,1.5590569328171031,0.8,0.8379374611004519
2056,1299,4113,ICICIBANK,2021-12-01,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.0,0,0.0,0.0,0,0,727.7,729.45,0.07945205479452055,0.8299793180495123,0.7750327658007717,-0.2091801293479333,5.092787775844963,0.8,0.9647580433874036
