,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
52,HDFCBANK,2021-10-25,2021-12-30,CE,1660,0.0,0.0,0.0,84.5,0.0,95.5,0,0.0,0.0,0,0,1657,1669.1,66.0,28.289794921875,0.542047762260306,-0.6034657325993344,0.001975837216594779,2.8157672023814233,84.5,0.0
54,HDFCBANK,2021-10-25,2021-12-30,PE,1660,0.0,0.0,0.0,133.65,0.0,86.95,0,0.0,0.0,0,0,1657,1669.1,66.0,49.01313781738281,-0.4481090667093115,-1.0424658783064418,0.0011370903679017148,2.807522677881841,133.65,0.0
60,HDFCBANK,2021-10-26,2021-12-30,CE,1660,0.0,0.0,0.0,84.5,0.0,92.25,0,0.0,0.0,0,0,1652.75,1667.35,65.0,28.86962890625,0.5387074699769218,-0.6204321470461105,0.0019547049005057895,2.7938072698445056,84.5,0.0
61,HDFCBANK,2021-10-26,2021-12-30,PE,1660,0.0,0.0,0.0,133.65,0.0,88.1,0,0.0,0.0,0,0,1652.75,1667.35,65.0,49.106597900390625,-0.4502880886967913,-1.0520933193539082,0.0011456286888184512,2.7852088591728745,133.65,0.0
63,HDFCBANK,2021-10-27,2021-12-30,PE,1660,0.0,0.0,0.0,133.65,0.0,92.0,0,0.0,0.0,0,0,1642.8,1657.05,64.0,47.78289794921875,-0.4636854266872302,-1.0290761025934225,0.00119826853710361,2.7566712523787333,133.65,0.0
62,HDFCBANK,2021-10-27,2021-12-30,CE,1660,0.0,0.0,0.0,84.5,0.0,86.0,0,0.0,0.0,0,0,1642.8,1657.05,64.0,31.06689453125,0.520485365854951,-0.6709714518238038,0.0018482469164809,2.764497292996451,84.5,0.0
64,HDFCBANK,2021-10-28,2021-12-30,CE,1600,101.55,101.55,67.5,68.6,67.5,68.6,12,110.95,5.35,6050,4950,-,1605.55,63.0,24.7802734375,0.5339131830456386,-0.5214591904071332,0.002404824167777552,2.6514581510577324,59.2,-9.399999999999991
65,HDFCBANK,2021-10-28,2021-12-30,PE,1600,39.0,61.7,39.0,60.6,61.7,60.6,47,426.93,13.33,37400,14300,-,1605.55,63.0,23.86474609375,-0.466329877667947,-0.5022194984158552,0.0024972103375359195,2.6515956445465907,64.2,3.6000000000000014
31,HDFCBANK,2021-10-29,2021-12-30,PE,1600,72.8,77.8,57.8,64.2,62.4,64.2,31,284.47,11.67,39600,2200,1582.85,1594.25,62.0,23.345947265625,-0.4957343715133847,-0.4934928814855465,0.0026005661234924167,2.6211451866984055,47.2,-17.0
28,HDFCBANK,2021-10-29,2021-12-30,CE,1600,58.35,69.9,56.45,59.2,59.35,59.2,36,328.9,12.1,16500,10450,1582.85,1594.25,62.0,23.62060546875,0.504664974651314,-0.49929308542078044,0.002570298181859641,2.621115816615567,71.7,12.5
66,HDFCBANK,2021-11-01,2021-12-30,CE,1620,60.0,60.0,60.0,60.0,60.0,60.0,1,9.24,0.33,550,550,-,1622.55,59.0,22.5830078125,0.5250054256673237,-0.4970880022974135,0.0027026909923024414,2.597368107831398,60.0,0.0
67,HDFCBANK,2021-11-01,2021-12-30,PE,1620,0.0,0.0,0.0,110.85,0.0,86.0,0,0.0,0.0,0,0,-,1622.55,59.0,43.170928955078125,-0.4618214323745471,-0.9477685653414305,0.001410087929728978,2.5905555756435406,110.85,0.0
69,HDFCBANK,2021-11-02,2021-12-30,PE,1620,0.0,0.0,0.0,110.85,0.0,84.5,0,0.0,0.0,0,0,1606.75,1615.6,58.0,42.27447509765625,-0.4728451783846602,-0.9341660565200414,0.0014619173026778232,2.563326033167769,110.85,0.0
68,HDFCBANK,2021-11-02,2021-12-30,CE,1620,60.0,60.0,60.0,60.0,60.0,81.15,1,9.24,0.33,1100,550,1606.75,1615.6,58.0,24.169921875,0.5079566452402058,-0.5352323374799035,0.0025624005712141656,2.5687692111197116,43.65,-16.35
71,HDFCBANK,2021-11-03,2021-12-30,PE,1580,0.0,0.0,0.0,90.35,0.0,75.05,0,0.0,0.0,0,0,-,1589.35,57.0,38.043975830078125,-0.4544538412418207,-0.8307281983654567,0.0016587117682774787,2.4893038266202576,90.35,0.0
70,HDFCBANK,2021-11-03,2021-12-30,CE,1580,0.0,0.0,0.0,110.0,110.0,86.0,0,0.0,0.0,1650,0,-,1589.35,57.0,42.17529296875,0.5472573687918361,-0.9204761065327495,0.001495478146858358,2.4880509122363423,110.0,0.0
73,HDFCBANK,2021-11-04,2021-12-30,PE,1600,52.35,54.5,52.35,53.35,53.45,53.35,6,54.57,1.77,81950,-1650,-,1600.9,56.0,21.518707275390625,-0.480533161227988,-0.48006777547218055,0.0029530081819983682,2.4986440944049786,47.0,-6.350000000000001
72,HDFCBANK,2021-11-04,2021-12-30,CE,1600,54.05,55.0,53.1,54.05,53.1,54.05,4,36.39,1.19,46750,1650,-,1600.9,56.0,21.4385986328125,0.5194142565621251,-0.4782836827492022,0.002964061622030087,2.4986601682967913,61.05,7.0
74,HDFCBANK,2021-11-08,2021-12-30,CE,1620,50.0,50.0,50.0,50.0,50.0,72.6,1,9.19,0.28,1100,0,-,1613.0,52.0,21.97265625,0.49571293170409253,-0.5131257605789248,0.002982035577839796,2.4287040443828074,31.05,-18.95
75,HDFCBANK,2021-11-08,2021-12-30,PE,1620,0.0,0.0,0.0,110.85,0.0,83.45,0,0.0,0.0,0,0,-,1613.0,52.0,44.139862060546875,-0.4771489980498727,-1.0291628259639027,0.0014820957874817316,2.4248588215665072,110.85,0.0
34,HDFCBANK,2021-11-09,2021-12-30,CE,1580,63.0,71.8,49.65,49.65,49.65,49.65,10,90.27,3.37,7700,4950,-,1585.75,51.0,19.79827880859375,0.5343020463194694,-0.45730017787267935,0.003386880849994945,2.3559935989368164,47.05,-2.6000000000000014
37,HDFCBANK,2021-11-09,2021-12-30,PE,1580,52.0,52.0,50.0,50.0,50.0,75.2,2,17.94,0.56,1100,1100,-,1585.75,51.0,22.39990234375,-0.46603128553717055,-0.5174295895498929,0.0029937286293729216,2.3561628673267454,50.0,0.0
77,HDFCBANK,2021-11-10,2021-12-30,PE,1560,44.0,48.0,41.4,45.45,45.25,45.45,55,485.85,13.95,81400,19800,-,1567.8,50.0,21.335601806640625,-0.4591229829876118,-0.4913109012318257,0.003205443641995615,2.302774984668616,49.75,4.299999999999997
76,HDFCBANK,2021-11-10,2021-12-30,CE,1560,64.3,64.3,55.0,55.55,55.0,55.55,8,71.25,2.61,3300,3300,-,1567.8,50.0,22.33123779296875,0.5404906753996737,-0.5142892999717096,0.003062833836697887,2.3030040015678823,51.85,-3.6999999999999957
78,HDFCBANK,2021-11-11,2021-12-30,CE,1560,56.0,56.0,46.55,51.85,54.9,51.85,171,1513.72,46.54,81400,78100,-,1559.85,49.0,22.777557373046875,0.5161830061404094,-0.5295025697997872,0.0030620407025830506,2.2781745641340394,54.25,2.3999999999999986
79,HDFCBANK,2021-11-11,2021-12-30,PE,1560,52.45,56.1,48.95,49.75,48.95,49.75,118,1047.54,35.1,87450,6050,-,1559.85,49.0,21.78955078125,-0.4845593429887816,-0.5065720956940082,0.003201119560389208,2.278342765135467,46.95,-2.799999999999997
81,HDFCBANK,2021-11-12,2021-12-30,PE,1560,48.6,54.1,43.5,46.95,46.35,46.95,39,344.42,9.8,92950,5500,-,1565.1,48.0,21.884918212890625,-0.4677974443556227,-0.5144961063618693,0.0032013334596595958,2.2568796341969817,40.65,-6.300000000000004
80,HDFCBANK,2021-11-12,2021-12-30,CE,1560,52.75,55.0,48.0,54.25,54.8,54.25,148,1312.26,42.42,114950,33550,-,1565.1,48.0,22.857666015625,0.5322079585275898,-0.5373640028204133,0.0030650917708944124,2.2568771560270404,52.8,-1.4500000000000028
58,HDFCBANK,2021-11-15,2021-12-30,PE,1560,34.05,51.6,34.0,40.65,41.5,40.65,127,1118.46,28.8,132000,39050,-,1569.1,45.0,20.56121826171875,-0.4535638433882957,-0.4987368454381943,0.003497803297511485,2.1830572254080707,45.15,4.5
56,HDFCBANK,2021-11-15,2021-12-30,CE,1560,58.7,58.7,51.0,52.8,51.5,52.8,205,1820.06,61.16,163350,48400,-,1569.1,45.0,21.97265625,0.5453672543471034,-0.533138749500686,0.003274136198466479,2.1837363179548097,43.3,-9.5
