instrument_token,exchange,tradingsymbol
2931713,NSE,CCL
2932993,NSE,NV20
2936577,NSE,EXCELINDUS
2939649,NSE,LT
2941697,NSE,APARINDS
2942977,NSE,AMBICAAGAR
2946817,NSE,CENTEXT
2949633,NSE,NIITLTD
2951681,NSE,EMIL
2952193,NSE,ULTRACEMCO
2953217,NSE,TCS
2953729,NSE,HDFCMOMENT
2955009,NSE,COFORGE
2956033,NSE,HDFCLOWVOL
2956545,NSE,TEXINFRA
2960897,NSE,DCI
2962177,NSE,PPLPHARMA
2962689,NSE,FORCEMOT
2964481,NSE,WESTLIFE
2964737,NSE,GULFPETRO
2964993,NSE,TRACXN
2967297,NSE,HDFCNIFTY
2967809,NSE,HDFCSENSEX
2968577,NSE,LINCOLN
2970113,NSE,INDSWFTLTD
2971137,NSE,GUFICBIO
2974209,NSE,ASTRAMICRO
2976257,NSE,WELENT
2976513,NSE,NARMADA
2977281,NSE,NTPC
2978305,NSE,SALSTEEL
2979841,NSE,BOHRAIND
2981633,NSE,KOTARISUG
2983425,NSE,LALPATHLAB
2983681,NSE,JBMA
2986753,NSE,DWARKESH
2989313,NSE,INDOCO
2992385,NSE,SUPRAJIT
2994945,NSE,PATELENG
2995969,NSE,ALKEM
2996481,NSE,XCHANGING
3001089,NSE,JSWSTEEL
3003137,NSE,CONSOFINVT
3011329,NSE,JPPOWER
3015169,NSE,GOKEX
3015425,NSE,ACEINTEG
3016193,NSE,EVEREADY
3017473,NSE,GOYALALUM
3019265,NSE,SAKSOFT
3019777,NSE,HPIL
3020289,NSE,ALLDIGI
3021825,NSE,SUKHJITS
3023105,NSE,IIFL
3024129,NSE,SHOPERSTOP
3025153,NSE,MANGALAM
3026177,NSE,WELCORP
3028225,NSE,SSWL
3031041,NSE,NH
3031553,NSE,CYBERMEDIA
3034113,NSE,SURYALAXMI
3035137,NSE,SHAHALLOYS
3036161,NSE,JKPAPER
3037185,NSE,PRIMESECU
3038209,NSE,63MOONS
3039233,NSE,GRANULES
3042305,NSE,MANINDS
3044353,NSE,VHL
3045121,NSE,DCXINDIA
3045377,NSE,GEOJITFSL
3047681,NSE,GENUSPOWER
3048705,NSE,SWELECTES
3050241,NSE,YESBANK
3051265,NSE,MSPL
3054593,NSE,FUSION
3057409,NSE,MCLEODRUSS
3060737,NSE,MEDANTA
3063297,NSE,BIKAJI
3064577,NSE,GOLDIAM
3065601,NSE,RML
3067649,NSE,SASKEN
3068673,NSE,ICIL
3071745,NSE,FCSSOFT
3072001,NSE,FAZE3Q
3074305,NSE,IMPAL
3075841,NSE,AEROENTER
3076609,NSE,SUZLON
3077633,NSE,AURIONPRO
3078145,NSE,ACI
3078657,NSE,RENUKA
3080193,NSE,FIVESTAR
3080705,NSE,BASML
3090433,NSE,SCPL
3095553,NSE,KAYNES
3097857,NSE,HDFCNIFIT
3099649,NSE,HDFCPVTBAN
3103745,NSE,DOLATALGO
3111169,NSE,BBTCL
3116289,NSE,HNDFDS
3128065,NSE,RUSTOMJEE
3170305,NSE,ZIMLAB
3197185,NSE,SWSOLAR
3208449,NSE,AAATECH
3219969,NSE,FINIETF
3226369,NSE,PRECAM
3247617,NSE,MBAPL
3255297,NSE,TEAMLEASE
3263745,NSE,DJML
3288833,NSE,KRISHANA
3305729,NSE,SARVESHWAR
3322369,NSE,NPBET
3336961,NSE,SAFARI
3342593,NSE,UNIPARTS
3343617,NSE,360ONE
3346433,NSE,IIFLCAPS
3348737,NSE,TRIVENI
3348993,NSE,SILVER1
3350017,NSE,AIAENG
3351297,NSE,EKC
3353857,NSE,VIMTALABS
3356417,NSE,ORIENTCER
3357697,NSE,QUICKHEAL
3360257,NSE,REPRO
3363585,NSE,EBBETF0433
3364609,NSE,GSEC10IETF
3365633,NSE,PVRINOX
3369473,NSE,CELEBRITY
3372801,NSE,NITINSPIN
3374593,NSE,ROHLTD
3377153,NSE,ENIL
3378433,NSE,GSPL
3378689,NSE,COMMOIETF
3382017,NSE,JAGRAN
3383809,NSE,SULA
3388417,NSE,SADBHAV
3394561,NSE,KEC
3397121,NSE,JKCEMENT
3398401,NSE,INDOTECH
3398657,NSE,LANDMARK
3400961,NSE,M&MFIN
3401729,NSE,AFSL
3402241,NSE,BLKASHYAP
3404801,NSE,NITCO
3406081,NSE,CENTURYPLY
3407361,NSE,KEI
3412993,NSE,SOLARINDS
3414273,NSE,GALLANTT
3418113,NSE,MALUPAPER
3419905,NSE,KFINTECH
3424257,NSE,UTTAMSUGAR
3425537,NSE,KKCL
3430401,NSE,BHAGERIA
3431425,NSE,SUNTV
3432705,NSE,GPIL
3433985,NSE,RSYSTEMS
3435777,NSE,EMKAY
3438081,NSE,KELLTONTEC
3439617,NSE,LOKESHMACH
3440897,NSE,BALPHARMA
3443457,NSE,RATNAMANI
3444993,NSE,KAMDHENU
3446529,NSE,PIONEEREMB
3453697,NSE,JKLAKSHMI
3454977,NSE,PFOCUS
3456257,NSE,ALLCARGO
3458561,NSE,AKASH
3458817,NSE,MUNJALAU
3460353,NSE,EMAMILTD
3461633,NSE,NECCLTD
3463169,NSE,GMRAIRPORT
3465217,NSE,VIDHIING
3465729,NSE,TECHM
3470593,NSE,AVONMORE
3471361,NSE,GRINDWELL
3475713,NSE,VOLTAMP
3476481,NSE,RADIANTCMS
3477761,NSE,ATLANTAA
3478273,NSE,ACE
3481089,NSE,SELAN
3484417,NSE,IRCTC
3486721,NSE,ANANTRAJ
3489537,NSE,SKYGOLD
3491073,NSE,JMFINANCIL
3492609,NSE,ELECON
3492865,NSE,BANKETFADD
3493889,NSE,TALBROAUTO
3495937,NSE,ALICON
3496449,NSE,GEECEE
3504129,NSE,ACLGATI
3507713,NSE,VISHWARAJ
3509761,NSE,FIEMIND
3512321,NSE,JHS
3513601,NSE,DCBBANK
3516161,NSE,GLOBALVECT
3518721,NSE,GTLINFRA
3520001,NSE,FLUOROCHEM
3520257,NSE,NAUKRI
3520769,NSE,MANOMAY
3521537,NSE,SHIVAMAUTO
3522817,NSE,BBL
3526657,NSE,GESHIP
3529217,NSE,TORNTPOWER
3531265,NSE,BAIDFIN
3531777,NSE,MANALIPETC
3533057,NSE,SUTLEJTEX
3535361,NSE,GREENPANEL
3536897,NSE,LTFOODS
3538177,NSE,RUCHIRA
3539457,NSE,SOBHA
3542785,NSE,DONEAR
3544065,NSE,MMFL
3550209,NSE,AARTIPHARM
3550721,NSE,KUANTUM
3552001,NSE,JINDRILL
3553281,NSE,BANCOINDIA
3555841,NSE,HIRECT
3558401,NSE,CREST
3563521,NSE,PLASTIBLEN
3564801,NSE,NFL
3568897,NSE,PRAENG
3571201,NSE,LIQUID1
3571457,NSE,PARACABLES
3575297,NSE,HBLENGINE
3577857,NSE,TANLA
3579393,NSE,JASH
3580673,NSE,ABSLBANETF
3584769,NSE,ZEEMEDIA
3586049,NSE,AVTNPL
3587585,NSE,LUMAXTECH
3588865,NSE,VEEDOL
3598849,NSE,SANGHVIMOV
3600385,NSE,ASMS
3601409,NSE,SAGCEM
3606017,NSE,IGPL
3608577,NSE,SIYSIL
3609857,NSE,PTL
3611137,NSE,AUTOIND
3612417,NSE,NETWORK18
3613697,NSE,GANDHITUBE
3618305,NSE,PITTIENG
3622401,NSE,BTML
3623425,NSE,UNOMINDA
3628545,NSE,IZMO
3630081,NSE,NSLNISP
3633665,NSE,NINSYS
3634689,NSE,TIMKEN
3635969,NSE,HUBTOWN
3641089,NSE,TIIL
3642881,NSE,HDFCBSE500
3643649,NSE,HDFCSML250
3644417,NSE,HDFCMID150
3646721,NSE,TVSSRICHAK
3649281,NSE,REDINGTON
3650561,NSE,PGIL
3655169,NSE,ORIENTBELL
3657217,NSE,GOLDETF
3659777,NSE,SEQUENT
3660545,NSE,PFC
3661825,NSE,FSL
3662081,NSE,OSWALSEEDS
3663105,NSE,INDIANB
3668225,NSE,SMSPHARMA
3669505,NSE,HSCL
3670785,NSE,GANESHHOUC
3676417,NSE,APOLLOPIPE
3677697,NSE,IDEA
3682561,NSE,POCL
3685889,NSE,AMDIND
3689729,NSE,PAGEIND
3691009,NSE,ASTRAL
3692289,NSE,LAOPALA
3693569,NSE,GOLDBEES
3695361,NSE,JKTYRE
3696641,NSE,NAHARSPING
3699201,NSE,EMBDL
3706625,NSE,DIVGIITTS
3706881,NSE,GOKULAGRO
3708161,NSE,THEMISMED
3709441,NSE,NCLIND
3712257,NSE,BALAMINES
3714817,NSE,BANSWRAS
3716609,NSE,ABSLLIQUID
3717889,NSE,ICRA
3720961,NSE,GOLDSHARE
3721473,NSE,DISHTV
3724033,NSE,NDLVENTURE
3725313,NSE,PHOENIXLTD
3726593,NSE,AROGRANITE
3729153,NSE,BFUTILITIE
3732993,NSE,SRHHYPOLTD
3733505,NSE,PSUBNKIETF
3735553,NSE,FORTIS
3736833,NSE,ALPHAGEO
3737345,NSE,GSLSU
3738113,NSE,WEBELSOLAR
3739393,NSE,TGBHOTELS
3752193,NSE,INSECTICID
3754753,NSE,KMSUGAR
3756033,NSE,NAVINFLUOR
3757313,NSE,GUJAPOLLO
3759873,NSE,GOACARBON
3763713,NSE,NAGREEKEXP
3764993,NSE,TIMETECHNO
3766273,NSE,HGS
3771393,NSE,DLF
3773953,NSE,AXSENSEX
3774721,NSE,ADVANIHOTR
3778817,NSE,NELCAST
3780097,NSE,V2RETAIL
3781377,NSE,TARMAT
3785217,NSE,LOWVOL
3785729,NSE,SPARC
3792129,NSE,ADSL
3798529,NSE,DECCANCE
3799809,NSE,VIPCLOTHNG
3801089,NSE,ALPA
3802369,NSE,OMAXE
3803649,NSE,GOLD1
3806977,NSE,USK
3812865,NSE,CENTRALBK
3814401,NSE,SAHYADRI
3816449,NSE,KDDL
3817473,NSE,KPRMILL
3820033,NSE,PURVA
3823873,NSE,CIEINDIA
3824129,NSE,GSEC10YEAR
3825153,NSE,NAGREEKCAP
3826433,NSE,MOTILALOFS
3827713,NSE,INDOWIND
3828993,NSE,MAGNUM
3831297,NSE,CSBBANK
3832833,NSE,KSCL
3834113,NSE,POWERGRID
3835393,NSE,CENTUM
3837953,NSE,CCCL
3841793,NSE,MANGCHEFER
3848193,NSE,PSUBNKBEES
3848705,NSE,BAJAJELEC
3849985,NSE,CERA
3851265,NSE,DELTACORP
3854849,NSE,AVALON
3855617,NSE,PSUBANK
3857153,NSE,BLAL
3857409,NSE,RELIGARE
3858689,NSE,BVCL
3861249,NSE,ADANIPORTS
3861761,NSE,SILVERETF
3870465,NSE,EDELWEISS
3871745,NSE,KOLTEPATIL
3873025,NSE,RGL
3874817,NSE,KAUSHALYA
3876097,NSE,COLPAL
3877377,NSE,JYOTHYLAB
3878657,NSE,MADHAV
3879937,NSE,KALYANIFRG
3880193,NSE,RHL
3881217,NSE,HITECHCORP
3884545,NSE,TARIL
3885825,NSE,ECLERX
3886081,NSE,KIRLPNU
3887105,NSE,BRIGADE
3890945,NSE,MANAKSIA
3892225,NSE,ARIES
3894785,NSE,DVL
3896065,NSE,PATINTLOG
3898369,NSE,UJJIVANSFB
3898625,NSE,LICNFNHGP
3899905,NSE,AMBIKCO
3901185,NSE,BIRLAMONEY
3905025,NSE,CEATLTD
3908097,NSE,JKIL
3909377,NSE,CORDSCABLE
3911169,NSE,ONMOBILE
3912449,NSE,KNRCON
3915521,NSE,VIRINCHI
3917569,NSE,BANG
3918849,NSE,SEPC
3920129,NSE,IRB
3924481,NSE,QGOLDHALF
3924993,NSE,NMDC
3926273,NSE,RAIN
3927553,NSE,SHALPAINTS
3928833,NSE,GSS
3930881,NSE,RECLTD
3931137,NSE,GOLDETFADD
3932673,NSE,VGUARD
3936513,NSE,PDMJEPAPER
3937281,NSE,MANKIND
3938305,NSE,DHANI
3940097,NSE,RACE
3942145,NSE,EIHAHOTELS
3943425,NSE,ATAM
3944705,NSE,NESCO
3945985,NSE,TITAGARH
3947265,NSE,DPSCLTD
3947521,NSE,ACL
3982081,NSE,HCG
3990785,NSE,AVG
4055041,NSE,LATTEYS
4066049,NSE,HINDWAREAP
4107521,NSE,PRINCEPIPE
4127489,NSE,BHARATWIRE
4145153,NSE,PAVNAIND
4159745,NSE,INFIBEAM
4160769,NSE,EBBETF0430
4197121,NSE,MMP
4246785,NSE,VAISHALI
4259585,NSE,KIRIINDUS
4264193,NSE,ANIKINDS
4268801,NSE,BAJAJFINSV
4270593,NSE,PTCIL
4270849,NSE,DIGISPICE
4274177,NSE,GHCLTEXTIL
4276481,NSE,GOKUL
4278529,NSE,UBL
4280065,NSE,ALMONDZ
4281601,NSE,RPGLIFE
4294913,NSE,SILVRETF
4296449,NSE,GVT&D
4299521,NSE,ARCHIDPLY
4302593,NSE,LOTUSEYE
4305665,NSE,QNIFTY
4306433,NSE,IKIO
4307713,NSE,KOKUYOCMLN
4315905,NSE,SINDHUTRAD
4316929,NSE,LPDC
4326401,NSE,DPWIRES
4328449,NSE,TOUCHWOOD
4329729,NSE,ARTEMISMED
4330241,NSE,ZFCVINDIA
4331777,NSE,20MICRONS
4333313,NSE,JOCIL
4334849,NSE,INDBANK
4337409,NSE,ASHOKAMET
4341505,NSE,ALKALI
4357633,NSE,MAWANASUG
4359425,NSE,PATANJALI
4360193,NSE,THYROCARE
4363265,NSE,SHARIABEES
4365569,NSE,HMAAGRO
4376065,NSE,CROMPTON
4378881,NSE,SUMICHEM
4385281,NSE,PARAGMILK
4387841,NSE,IDEAFORGE
4389121,NSE,AARTECH
4390913,NSE,MIDCAPIETF
4398337,NSE,NEXT50
4399617,NSE,SHRIPISTON
4399873,NSE,CYIENTDLM
4402433,NSE,PAKKA
4404993,NSE,ITETFADD
4417537,NSE,ALBERTDAVD
4419329,NSE,ARMANFIN
4421121,NSE,ASPINWALL
4421377,NSE,SENCO
4421633,NSE,SETFGOLD
4423425,NSE,BLS
4427521,NSE,NAGAFERT
4430593,NSE,AJMERA
4432129,NSE,LLOYDSME
4437249,NSE,MHRIL
4441857,NSE,SALONA
4443393,NSE,GKWLIMITED
4443649,NSE,UTKARSHBNK
4445185,NSE,VINATIORGA
4448257,NSE,EXCEL
4451329,NSE,ADANIPOWER
4453121,NSE,SETF10GILT
4453633,NSE,PREMEXPLN
4454401,NSE,NHPC
4459265,NSE,BANKETF
4460545,NSE,GLOBUSSPR
4462849,NSE,NETWEB
4464129,NSE,OIL
4473601,NSE,NV20IETF
4474113,NSE,CONTROLPR
4476417,NSE,EXPLEOSOL
4485121,NSE,RTNPOWER
4488705,NSE,MGL
4490497,NSE,DAMODARIND
4492033,NSE,AMRUTANJAN
4498433,NSE,LIQUID
4499457,NSE,PVTBANKADD
4505089,NSE,ASALCBR
4506369,NSE,MAHEPC
4508929,NSE,SENSEXADD
4509697,NSE,PSUBANKADD
4512001,NSE,MOLDTECH
4514561,NSE,ZYDUSWELL
4516097,NSE,SUNTECK
4518657,NSE,POKARNA
4524801,NSE,ALOKINDS
4527361,NSE,GPTINFRA
4528897,NSE,VIJIFIN
4531201,NSE,LTGILTBEES
4531713,NSE,MIDSELIETF
4532225,NSE,QUESS
4536833,NSE,DEN
4538369,NSE,ASTEC
4540929,NSE,YATHARTH
4541953,NSE,BAFNAPH
4543233,NSE,NIITMTS
4546049,NSE,SARDAEN
4547585,NSE,REFEX
4551169,NSE,ATL
4555265,NSE,SOMICONVEY
4555521,NSE,TREL
4557057,NSE,LLOYDSENGG
4558849,NSE,QUAL30IETF
4561409,NSE,LTIM
4565249,NSE,AHLUCONT
4566785,NSE,GILLANDERS
4569857,NSE,DLINKINDIA
4571905,NSE,REDTAPE
4574465,NSE,JSWENERGY
4576001,NSE,GODREJPROP
4577537,NSE,DBCORP
4583169,NSE,ABBOTINDIA
4588033,NSE,GEEKAYWIRE
4589313,NSE,BAYERCROP
4590849,NSE,BEARDSELL
4592385,NSE,HINDCOPPER
4593921,NSE,COHANCE
4596993,NSE,MMTC
4598529,NSE,NESTLEIND
4600577,NSE,SBICARD
4604673,NSE,TRF
4607745,NSE,UNITEDTEA
4610817,NSE,WHIRLPOOL
4614657,NSE,SBFC
4615425,NSE,MBLINFRA
4617985,NSE,ADVENZYMES
4623361,NSE,CONCORDBIO
4630017,NSE,DBL
4632577,NSE,JUBLFOOD
4634113,NSE,NIFTY1
4636161,NSE,VASCONEQ
4638209,NSE,THANGAMAYL
4638465,NSE,SRGHFL
4641537,NSE,YASHO
4643585,NSE,DOLPHIN
4644353,NSE,EMMBI
4644609,NSE,JIOFIN
4646657,NSE,TVSSCS
4647425,NSE,HATHWAY
4661249,NSE,ORIENTLTD
4662785,NSE,TEXMOPIPES
4664321,NSE,KECL
4665857,NSE,MANINFRA
4667393,NSE,LORDSCHLO
4672001,NSE,PYRAMID
4672513,NSE,SPAL
4676609,NSE,AEROFLEX
4679425,NSE,HDFCLIQUID
4680705,NSE,HNGSNGBEES
4682753,NSE,IVZINGOLD
4690177,NSE,LGBBROSLTD
4695297,NSE,VPRPL
4696833,NSE,NIFMID150
4699905,NSE,SANDUMA
4701441,NSE,PERSISTENT
4702977,NSE,NDGL
4708097,NSE,RBLBANK
4714753,NSE,RISHABH
4716289,NSE,RATNAVEER
4718337,NSE,BIGBLOC
4724993,NSE,POWERINDIA
4730625,NSE,ISFT
4741121,NSE,CUPID
4747009,NSE,DIACABS
4749569,NSE,JLHL
4751873,NSE,MITTAL
4752385,NSE,LTTS
4752897,NSE,RRKABEL
4754177,NSE,GNA
4756737,NSE,KIRLOSBROS
4759809,NSE,EMSLIMITED
4763649,NSE,ZAGGLE
4765185,NSE,SAMHI
4772865,NSE,DIAMINESQ
4774913,NSE,ICICIPRULI
4776705,NSE,MARATHON
4781825,NSE,HPL
4792577,NSE,NUVAMA
4798209,NSE,SIGNATURE
4801281,NSE,KALAMANDIR
4802561,NSE,YATRA
4808449,NSE,IDFNIFTYET
4818433,NSE,ENDURANCE
4828929,NSE,VERTOZ
4829697,NSE,MAZDA
4834049,NSE,SJVN
4835585,NSE,KSL
4840449,NSE,PNBHOUSING
4843777,NSE,VBL
4846337,NSE,SUNDARAM
4849665,NSE,KINGFA
4854273,NSE,RAJRATAN
4855553,NSE,KAPSTON
4858113,NSE,UNIVASTU
4867841,NSE,MVGJL
4869121,NSE,JSWINFRA
4870401,NSE,KIRLOSIND
4873217,NSE,PODDARMENT
4879617,NSE,MANAPPURAM
4882689,NSE,AARVI
4885505,NSE,ITBEES
4888833,NSE,SILLYMONKS
4892417,NSE,NBIFIN
4892929,NSE,UDS
4896257,NSE,KIOCL
4900353,NSE,UMESLTD
4911105,NSE,SFL
4914177,NSE,TI
4916481,NSE,HEADSUP
4918017,NSE,HMVL
4919809,NSE,VALIANTLAB
4921089,NSE,TCIEXP
4921345,NSE,SENSEXETF
4923905,NSE,LAURUSLABS
4924161,NSE,IMFA
4924673,NSE,MONIFTY500
4931841,NSE,BLISSGVS
4935425,NSE,THEJO
4937985,NSE,MOM50
4940545,NSE,ITDC
4946433,NSE,HISARMETAL
4966657,NSE,BOROLTD
4968961,NSE,ROSSARI
4976129,NSE,AHLEAST
4981249,NSE,PLAZACABLE
4999937,NSE,BAJAJCON
5003009,NSE,HDFCGOLD
5006337,NSE,BHANDARI
5011969,NSE,UGARSUGAR
5013761,NSE,BSE
5016833,NSE,IRMENERGY
5017345,NSE,PRAKASHSTL
5025537,NSE,PRICOLLTD
5026049,NSE,ITETF
5027841,NSE,ALPHAETF
5029377,NSE,MAXESTATES
5037825,NSE,GOLDIETF
5039617,NSE,BLUEJET
5040897,NSE,JITFINFRA
5044481,NSE,LIQUIDSBI
5051137,NSE,GPPL
5058817,NSE,ADFFOODS
5064449,NSE,MUFIN
5067521,NSE,CELLO
5072129,NSE,HONASA
5085953,NSE,AMNPLST
5088257,NSE,LGHL
5088513,NSE,RADIOCITY
5088769,NSE,ESAFSFB
5097729,NSE,DMART
5102337,NSE,ORISSAMINE
5102849,NSE,EGOLD
5105409,NSE,DEEPAKNTR
5136129,NSE,SASTASUNDR
5138177,NSE,INTENTECH
5138433,NSE,INFRABEES
5142017,NSE,CPCAP
5143553,NSE,TASTYBITE
5148161,NSE,GREENPOWER
5154305,NSE,RAMKY
5158913,NSE,ASKAUTOLTD
5160705,NSE,ARIHANTSUP
5160961,NSE,CANTABIL
5165569,NSE,AKSHARCHEM
5166593,NSE,ASHOKA
5168129,NSE,WABAG
5170177,NSE,BEDMUTHA
5171969,NSE,URJA
5177089,NSE,CLEDUCATE
5177345,NSE,JWL
5181953,NSE,OBEROIRLTY
5185793,NSE,ESILVER
5186817,NSE,IREDA
5195009,NSE,TATATECH
5197313,NSE,PRESTIGE
5197569,NSE,GANDHAR
5202177,NSE,SHANKARA
5202433,NSE,FEDFINA
5202689,NSE,RESPONIND
5204225,NSE,CGCL
5215233,NSE,FLAIR
5215745,NSE,COALINDIA
5225729,NSE,IOLCP
5243137,NSE,WIPL
5254913,NSE,PRUDMOULI
5256193,NSE,AXISGOLD
5256705,NSE,GRAVITA
5260033,NSE,BBNPPGOLD
5261057,NSE,DOMS
5262337,NSE,INDIASHLTR
5263361,NSE,DOLLAR
5275393,NSE,INOXINDIA
5277697,NSE,SUPERHOUSE
5278977,NSE,PENIND
5284353,NSE,JINDWORLD
5298689,NSE,SCHAND
5314561,NSE,RPPINFRA
5318657,NSE,BHAGYANGR
5319169,NSE,JAMNAAUTO
5321729,NSE,MOTISONS
5330433,NSE,SURAJEST
5331201,NSE,HUDCO
5332481,NSE,MOIL
5332737,NSE,MUTHOOTMF
5338625,NSE,HAPPYFORGE
5343745,NSE,RBZJEWEL
5344513,NSE,PSPPROJECT
5344769,NSE,MUFTI
5351681,NSE,AZAD
5359617,NSE,KIRLOSENG
5363201,NSE,RKDL
5364737,NSE,SUNCLAY
5376257,NSE,PSB
5391873,NSE,INNOVACAP
5395713,NSE,SURANASOL
5399297,NSE,STARCEMENT
5404929,NSE,BFINVEST
5406465,NSE,KICL
5409537,NSE,TEJASNET
5415425,NSE,ERIS
5420545,NSE,CDSL
5425921,NSE,GTPL
5436929,NSE,AUBANK
5439233,NSE,DIGIDRIVE
5440513,NSE,AXISNIFTY
5441025,NSE,LOWVOLIETF
5446401,NSE,SUMMITSEC
5456385,NSE,DYNPRO
5461505,NSE,JYOTICNC
5462785,NSE,STEELXIND
5468673,NSE,SALASAR
5474049,NSE,PALASHSECU
5476353,NSE,MAGADSUGAR
5478145,NSE,GANGESSECU
5478657,NSE,TATAGOLD
5479937,NSE,AVADHSUGAR
5484289,NSE,MOM100
5485313,NSE,THEINVEST
5485569,NSE,TATSILV
5496065,NSE,OPTIEMUS
5498369,NSE,UTINEXT50
5499905,NSE,STEL
5504257,NSE,SIS
5506049,NSE,COCHINSHIP
5517057,NSE,SMSLIFE
5523969,NSE,COMSYN
5533185,NSE,ABCAPITAL
5535489,NSE,APEX
5550849,NSE,BRNL
5552641,NSE,DIXON
5556481,NSE,MEDIASSIST
5561857,NSE,MATRIMONY
5565441,NSE,CHOLAHLDNG
5567745,NSE,CAPACITE
5568001,NSE,LIQUIDCASE
5573121,NSE,ICICIGI
5579265,NSE,DAVANGERE
5582849,NSE,SBILIFE
5587969,NSE,TEXRAIL
5591041,NSE,DIAMONDYD
5619457,NSE,HFCL
5620993,NSE,INDTERRAIN
5621505,NSE,NIFTYBETF
5628417,NSE,BANKBETF
5691649,NSE,DHUNINV
5693185,NSE,EBBETF0431
5697281,NSE,NDRAUTO
5702913,NSE,WORTH
5720065,NSE,ALPL30IETF
5724161,NSE,MCL
5725441,NSE,ITIETF
5728513,NSE,MAXHEALTH
5738241,NSE,LOVABLE
5740289,NSE,TOTAL
5741569,NSE,MAXIND
5742849,NSE,HDFCNIFBAN
5744641,NSE,UTIBANKETF
5750529,NSE,EPACK
5754113,NSE,NOVAAGRI
5756929,NSE,NIFITETF
5765377,NSE,NIF5GETF
5766145,NSE,NIF10GETF
5783553,NSE,HEALTHADD
5784321,NSE,HDFCPSUBK
5786113,NSE,PFS
5798145,NSE,PARKHOTELS
5799937,NSE,SIGNPOST
5801729,NSE,JSFB
5803521,NSE,RPTECH
5804801,NSE,CAPITALSFB
5815553,NSE,ENTERO
5816833,NSE,LICNMID100
5818881,NSE,VSTL
5821185,NSE,MON100
5842945,NSE,JUNIPER
5844993,NSE,SMALLCAP
5848577,NSE,GPTHEALTH
5862657,NSE,GOLDCASE
5870081,NSE,PLATIND
5874433,NSE,EXICOM
5882881,NSE,MUKKA
5894913,NSE,LANCORHOL
5899009,NSE,RKSWAMY
5902337,NSE,JGCHEM
5904897,NSE,GOPAL
5920513,NSE,SCILAL
5924353,NSE,PVSL
5934337,NSE,MOSMALL250
5935105,NSE,MOREALTY
5990913,NSE,SRM
5992193,NSE,LIQUIDADD
6010881,NSE,SINCLAIR
6013185,NSE,BHARTIHEXA
6019073,NSE,TARACHAND
6029569,NSE,AIIL
6039041,NSE,GLOSTERLTD
6046977,NSE,JNKINDIA
6053633,NSE,FILATFASH
6054401,NSE,MUTHOOTFIN
6065409,NSE,INDGN
6074625,NSE,AADHARHFC
6077441,NSE,TBOTEK
6092545,NSE,GODIGIT
6093825,NSE,BSLGOLDETF
6094337,NSE,ABSLPSE
6106881,NSE,MIDSMALL
6109185,NSE,AWFIS
6122241,NSE,LIQUIDBETF
6147585,NSE,BOROSCI
6150401,NSE,KRONOX
6161153,NSE,IXIGO
6163713,NSE,MID150CASE
6164737,NSE,TOP100CASE
6173953,NSE,BBNPNBETF
6181121,NSE,RETAIL
6183425,NSE,DEEDEV
6184705,NSE,AFIL
6191105,NSE,PIIND
6192641,NSE,SYMPHONY
6194177,NSE,VADILALIND
6199553,NSE,IVZINNIFTY
6201601,NSE,RELAXO
6201857,NSE,STANLEY
6203137,NSE,OMINFRAL
6211841,NSE,ESTER
6218753,NSE,VSTTILLERS
6222849,NSE,ABDL
6226177,NSE,VRAJ
6237697,NSE,SBISILVER
6239745,NSE,LIQUIDSHRI
6240769,NSE,RELIABLE
6242817,NSE,BANSALWIRE
6245889,NSE,EMCURE
6247169,NSE,ASHIANA
6247425,NSE,ABGSEC
6248705,NSE,DHANUKA
6257921,NSE,AGIIL
6262017,NSE,EVINDIA
6278145,NSE,SBINEQWETF
6280193,NSE,FILATEX
6280449,NSE,OILIETF
6281729,NSE,MAITHANALL
6292993,NSE,SANSTAR
6296321,NSE,RUSHIL
6300161,NSE,AVANTEL
6327041,NSE,AKUMS
6330881,NSE,RUBFILA
6332161,NSE,RPEL
6333953,NSE,CEIGALL
6342913,NSE,OLAELEC
6343937,NSE,BSLNIFTY
6348289,NSE,GROWWEV
6351105,NSE,UNIECOM
6352385,NSE,FIRSTCRY
6354689,NSE,MANCREDIT
6360833,NSE,GSEC10ABSL
6363137,NSE,SSDL
6364417,NSE,METALIETF
6366721,NSE,INVENTURE
6385665,NSE,MODEFENCE
6386689,NSE,LTF
6390017,NSE,ORIENTTECH
6391297,NSE,SURAJLTD
6392065,NSE,WINDMACHIN
6404353,NSE,BODALCHEM
6412545,NSE,PREMIERENE
6415361,NSE,ECOSMOBLTY
6418689,NSE,RAYMONDLSL
6420481,NSE,MULTICAP
6429185,NSE,STYLEBAAZA
6434305,NSE,GALAPREC
6441473,NSE,EUREKAFORB
6443777,NSE,TOP10ADD
6445569,NSE,TDPOWERSYS
6451969,NSE,BALAJEE
6456833,NSE,SANOFICONR
6460161,NSE,XTGLOBAL
6464513,NSE,KROSS
6466049,NSE,EBANKNIFTY
6467073,NSE,TOLINS
6469121,NSE,BAJAJHFL
6479873,NSE,PNGJL
6483969,NSE,APLLTD
6491649,NSE,PGEL
6500353,NSE,PANAMAPET
6501889,NSE,ARKADE
6503169,NSE,WCIL
6509057,NSE,NORTHARC
6514433,NSE,GROWWLIQID
6519809,NSE,PAISALO
6528769,NSE,INDOUS
6546945,NSE,SHAKTIPUMP
6549505,NSE,TRITURBINE
