gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,at,bkvlps,csho,dltt,dpvieb,lt,sale,wcap,costat,mkvalt
1300,20141231,2014,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,45451,22.5735,782.2,6046,9119,27448,40306,7418,A,78157.424
1300,20151231,2015,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,49316,23.7318,770.4,5554,9119,30608,38581,1682,A,79790.328
1300,20161231,2016,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,54146,25.4587,760.8,12182,8714,34596,39302,6727,A,88138.68
1300,20171231,2017,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,59387,23.0071,750.9,12573,9261,41943,40534,7141,A,115158.024
1300,20181231,2018,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,57773,24.9178,729.6,9756,8114,39408,41802,5438,A,96394.752
1300,20191231,2019,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,58679,26.0076,711.1,11644,8388,39966,36709,6205,A,125864.7
1327,20100930,2010,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,1564.052,7.3038,180.263,24.743,362.295,247.456,1071.849,585.541,A,3726.0362
1327,20110930,2011,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,1890.389,8.6331,186.386,0,421.873,281.294,1418.922,569.238,A,3347.4926
1327,20120930,2012,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,2136.646,9.9091,192.296,0,475.205,231.171,1568.581,700.659,A,4530.4938
1327,20130930,2013,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,2333.1,11.182,187.9,0,530.7,232,1792,893.6,A,4667.436
1327,20140930,2014,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,2973.8,13.3848,189.2,0,621.2,441.4,2291.5,1131.6,A,10983.06
1327,20150930,2015,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,3719.4,16.6012,190.3,0,759,560.2,3258.4,1450.8,A,16025.163
1327,20160930,2016,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,3855.4,19.1531,184.9,0,961.5,314,3289,1791.9,A,14078.286
1327,20170930,2017,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,4573.6,22.2048,183.1,0,1176.7,507.9,3651.4,2245.8,A,18657.89
1327,20180930,2018,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,4828.9,23.0947,177.4,0,1408.8,731.9,3868,1872.5,A,16091.954
1327,20190930,2019,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,4839.6,24.2346,170.1,0,1678.3,717.3,3376.8,1860.6,A,13480.425
1380,20101231,2010,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,35396,49.4224,337.681,5537,14576,18587,33862,1167,A,25846.1037
1380,20111231,2011,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,39136,54.4627,339.976,6005,14998,20544,38466,239,A,19310.6368
1380,20121231,2012,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,43441,61.7519,341.528,7324,16746,22238,37691,5,A,18087.3229
1380,20131231,2013,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,42754,75.9881,325.314,5420,17179,17970,22284,2041,A,27001.062
1380,20141231,2014,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,38578,77.6847,285.835,5919,19005,16258,10737,1836,A,21100.3397
1380,20151231,2015,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,34195,67.7723,286.046,6544,20474,13794,6636,1776,A,13867.5101
1380,20161231,2016,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,28621,44.1011,316.523,6694,23312,13030,4762,2025,A,19716.2177
1380,20171231,2017,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,23112,33.2514,315.054,6397,16312,10758,5466,3722,A,14955.6134
1380,20181231,2018,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,21433,31.067,291.435,6605,17139,10545,6323,2256,A,11803.1175
1380,20191231,2019,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,21782,28.6337,304.955,7733,19088,12076,6495,646,A,20374.0436
1440,20101231,2010,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,50455,28.3315,480.807,15900,,36773,14427,-1502,A,17299.4359
1440,20111231,2011,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,52223,30.3337,483.423,15467,,37558,15116,-2429,A,19970.2041
1440,20121231,2012,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,54367,31.3733,485.668,15961,,39130,14945,-2234,A,20728.3102
1440,20131231,2013,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,56414,32.9761,487.777,17256,,40328,15357,-1802,A,22798.697
