Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19340602,-3.46,-4.28,-4.94,-3.03,-4.57,-6.26
19340609,5.52,9.56,10.76,7.86,10.45,14.38
19340616,1.27,0.79,-1.61,1.78,1.74,2.39
19340623,-4.09,-5.33,-6.08,-4.24,-5.62,-7.82
19340630,0.3,-0.54,-1.55,0,-0.49,-1
19340707,-0.18,-0.27,-1.34,1.11,0.49,1.06
19340714,3.14,-0.02,0.33,1.56,-0.21,-1.63
19340721,-9.5,-8.81,-10.97,-4.46,-4.5,-10.2
19340728,-11.35,-12.5,-13.61,-6.24,-7.52,-12.1
19340804,4.16,3.58,3.89,0.34,0.1,-2.65
19340811,2.51,2.28,2.53,2.68,1.66,1.6
19340818,1.75,1.23,2.77,1.1,1.3,0.95
19340825,5.53,6.38,7.15,4.84,4.95,12.88
19340901,-3.77,-3.76,-4.91,-3.25,-3.6,-8.07
19340908,-2.14,-2.52,-2.96,-2.31,-1.42,-3.19
19340915,-7.09,-6.8,-6.78,-3.63,-4.51,-7.89
19340922,7.58,5.67,6.29,4.65,4.64,9.08
19340929,1.49,2.38,0.22,1.35,1.09,2.62
19341006,1.07,-0.32,-0.29,-0.31,-1.94,-1.47
19341013,2.44,2.53,3.03,1.62,0.95,1.01
19341020,-0.82,-1.11,-0.85,0.12,-0.48,-1.88
19341027,-3.23,-2.73,-4.1,-2.05,-1.9,-4.51
19341103,3.37,2.91,0.14,2.09,2.06,-0.03
19341110,5.73,7.68,6.78,4.16,3.59,6.39
19341117,2.58,1.15,-0.89,0.11,-3.84,-3.23
19341124,3.91,2.53,3.15,2.77,3.41,2.93
19341201,0.95,0.88,0.75,0.69,0.74,3.88
19341208,0.76,1.09,0.55,-0.6,0.02,-1.3
19341215,-0.74,-2.83,-2.29,-2.6,-1.87,-2.46
19341222,-2.13,-2.18,-3.28,-0.42,-1.88,-4.58
19341229,6.04,4.85,6.26,4,3.57,6.48
19350105,2.41,4.04,4.76,1.71,1.22,1.83
19350112,-5.61,-5.02,-4.52,-3.84,-3.03,-7.11
19350119,1.76,2.98,1.33,1.12,0.71,1.83
19350126,-1.38,-1.79,-1.03,-0.29,-0.43,-4.45
19350202,-2.78,-2.44,-2.75,-0.83,-0.74,-2.09
19350209,0.14,0,0.11,0.37,-0.11,-1.61
